Datetime,Open,High,Low,Close,Volume,EMA9,EMA21,ADX,ATR
2025-04-15 09:15:00,705.0,741.0,693.05,735.5,12448241,,,0.0,0.0
2025-04-16 09:15:00,747.0,794.4,733.0,785.5,31250868,,,0.0,0.0
2025-04-17 09:15:00,788.25,801.0,777.3,792.7,14042909,,,0.0,0.0
2025-04-21 09:15:00,802.0,841.9,798.35,827.0,15636898,,,0.0,0.0
2025-04-22 09:15:00,790.0,808.0,775.4,788.4,25692262,,,0.0,0.0
2025-04-23 09:15:00,797.45,805.0,782.0,793.0,10653822,,,0.0,0.0
2025-04-24 09:15:00,795.0,837.5,793.3,819.8,22478621,,,0.0,0.0
2025-04-25 09:15:00,822.0,829.0,807.35,820.0,11722625,,,0.0,0.0
2025-04-28 09:15:00,828.0,841.8,821.05,830.5,6928394,800.12,,0.0,0.0
2025-04-29 09:15:00,841.95,852.0,828.55,837.5,8768447,807.6,,0.0,0.0
2025-04-30 09:15:00,820.0,843.1,810.05,833.0,20241322,812.68,,0.0,0.0
2025-05-02 09:15:00,835.0,863.5,833.1,850.5,9073338,820.24,,0.0,0.0
2025-05-05 09:15:00,855.0,862.0,840.55,848.0,7864358,825.8,,0.0,0.0
2025-05-06 09:15:00,846.75,851.25,821.9,832.0,10040046,827.04,,0.0,0.0
2025-05-07 09:15:00,827.0,842.0,816.1,830.05,9432395,827.64,,0.0,0.0
2025-05-08 09:15:00,835.0,844.25,816.0,818.6,13290452,825.83,,0.0,0.0
2025-05-09 09:15:00,805.5,826.45,805.5,817.5,5073628,824.16,,0.0,0.0
2025-05-12 09:15:00,835.0,838.0,786.0,790.85,14567810,817.5,,0.0,0.0
2025-05-13 09:15:00,794.0,804.0,769.05,770.0,10837770,808.0,,0.0,0.0
2025-05-14 09:15:00,775.0,786.4,764.55,781.95,9157383,802.79,,0.0,0.0
2025-05-15 09:15:00,778.0,782.65,757.85,780.0,7349672,798.23,797.38,0.0,32.92
2025-05-16 09:15:00,750.0,785.5,750.0,784.7,27165834,795.53,796.23,0.0,33.04
2025-05-19 09:15:00,779.9,791.95,770.3,782.45,7190238,792.91,794.98,0.0,32.5
2025-05-20 09:15:00,785.0,799.7,780.05,782.3,6635221,790.79,793.82,0.0,31.89
2025-05-21 09:15:00,783.0,786.7,761.0,766.0,8128494,785.83,791.29,0.0,31.59
2025-05-22 09:15:00,750.0,796.7,725.8,783.5,43468434,785.36,790.59,0.0,33.46
2025-05-23 09:15:00,781.1,799.2,777.3,792.6,9255324,786.81,790.77,0.0,32.91
2025-05-26 09:15:00,793.35,802.0,790.75,800.75,5376847,789.6,791.68,19.68,31.88
2025-05-27 09:15:00,798.6,827.6,798.0,821.0,10308415,795.88,794.34,18.48,31.77
2025-05-28 09:15:00,820.5,820.7,802.9,805.0,5307397,797.7,795.31,17.38,31.12
2025-05-29 09:15:00,805.15,827.0,803.05,825.0,8785690,803.16,798.01,16.59,30.78
2025-05-30 09:15:00,821.1,823.85,811.0,818.7,5629486,806.27,799.89,15.86,29.98
2025-06-02 09:15:00,815.0,824.8,809.55,812.05,4093195,807.43,801.0,15.11,29.28
2025-06-03 09:15:00,818.45,818.45,798.15,799.95,3240708,805.93,800.9,14.2,28.85
2025-06-04 09:15:00,807.8,815.45,803.0,815.2,3877463,807.78,802.2,13.35,28.22
2025-06-05 09:15:00,817.0,818.5,800.3,803.3,3364486,806.89,802.3,12.4,27.74
2025-06-06 09:15:00,807.0,845.85,805.0,824.0,10916220,810.31,804.27,12.77,28.45
2025-06-09 09:15:00,831.25,840.0,821.5,836.0,6894091,815.45,807.16,13.11,27.97
2025-06-10 09:15:00,838.0,857.35,836.0,844.25,10160648,821.21,810.53,14.1,27.66
2025-06-11 09:15:00,845.25,851.4,834.45,836.65,2357740,824.3,812.9,14.93,27.15
2025-06-12 09:15:00,837.0,843.15,826.0,827.0,2741708,824.84,814.19,15.15,26.67
2025-06-13 09:15:00,819.0,826.8,813.05,818.5,3164422,823.57,814.58,14.6,26.06
2025-06-16 09:15:00,817.05,824.8,810.25,820.15,2286144,822.89,815.08,13.92,25.52
2025-06-17 09:15:00,820.0,820.95,806.05,810.3,2343543,820.37,814.65,13.06,25.01
2025-06-18 09:15:00,818.05,855.5,815.55,847.1,20822000,825.72,817.6,13.81,25.97
2025-06-19 09:15:00,847.0,849.6,835.5,836.0,4361695,827.77,819.27,14.51,25.41
2025-06-20 09:15:00,835.5,847.75,829.0,844.0,20960682,831.02,821.52,14.75,25.09
2025-06-23 09:15:00,835.2,845.0,826.5,838.9,3191362,832.59,823.1,14.82,24.78
2025-06-24 09:15:00,851.0,852.0,823.8,831.45,5482002,832.37,823.86,15.2,24.94
2025-06-25 09:15:00,834.0,838.8,828.0,829.5,4943107,831.79,824.37,15.56,24.27
2025-06-26 09:15:00,834.9,840.5,824.5,834.7,4449930,832.37,825.31,15.63,23.87
2025-06-27 09:15:00,836.0,881.0,831.5,860.3,12654704,837.96,828.49,17.33,25.09
2025-06-30 09:15:00,864.75,875.75,857.7,873.0,4352946,844.97,832.54,18.9,24.76
2025-07-01 09:15:00,870.1,892.8,866.05,879.0,5728239,851.77,836.76,20.87,24.85
2025-07-02 09:15:00,875.5,875.5,847.7,856.75,10182484,852.77,838.58,21.44,25.16
2025-07-03 09:15:00,849.0,866.0,845.55,861.95,3854888,854.61,840.7,21.84,24.93
2025-07-04 09:15:00,857.1,863.9,849.4,854.5,2658306,854.58,841.96,22.21,24.44
2025-07-07 09:15:00,847.0,866.95,845.2,854.45,3293122,854.56,843.09,22.25,24.31
2025-07-08 09:15:00,855.0,862.9,848.45,851.8,2344395,854.01,843.89,22.3,23.84
2025-07-09 09:15:00,851.75,854.9,839.55,842.0,2405011,851.6,843.71,21.68,23.44
2025-07-10 09:15:00,845.0,855.7,840.95,853.9,2560405,852.06,844.64,21.16,23.02
2025-07-11 09:15:00,852.0,867.7,849.6,858.3,3848809,853.31,845.88,21.3,22.79
2025-07-14 09:15:00,858.8,873.5,857.45,865.95,3605616,855.84,847.71,21.72,22.47
2025-07-15 09:15:00,871.0,886.75,869.65,881.5,3532608,860.97,850.78,22.68,22.39
2025-07-16 09:15:00,876.0,888.95,876.0,878.25,2863120,864.43,853.28,23.67,21.94
