variant,set_name,symbol,date,direction,sweep_reference,entry_trigger,sweep_time,sweep_level,sweep_extreme,confirmation_time,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,outcome,pnl_per_share,r_multiple,risk_per_share,stop_pct,mfe_r,mae_r,minutes_held,bias_15m,bias_1h,fvg_time,fvg_size,order_block_low,order_block_high,failure_reason
previous_day__direct_5m_ob__no_bank_filter,test,SBIN,2026-06-11,LONG,previous_day,direct_5m_ob,2026-06-11 09:35:00,999.5,999.0,2026-06-11 09:40:00,2026-06-11 09:58:00,1001.45,998.95,1006.45,2026-06-11 10:53:00,1001.45,breakeven,0.0,0.0,2.5,0.0024963802486394726,1.7799999999999727,0.5200000000000273,55.0,-1,1,2026-06-11 09:44:00,2.300000000000068,1000.0,1002.9,
previous_day__direct_5m_ob__no_bank_filter,test,SBIN,2026-07-15,SHORT,previous_day,direct_5m_ob,2026-07-15 09:35:00,1033.7,1035.0,2026-07-15 10:00:00,2026-07-15 10:08:00,1034.0,1035.05,1031.9,2026-07-15 10:08:00,1031.9,target,2.099999999999909,2.0,1.0499999999999545,0.0010154738878142694,2.0952380952382295,0.09523809523801274,0.0,1,-1,2026-07-15 10:01:00,1.5,1033.2,1034.8,
previous_day__direct_5m_ob__bank_vwap,test,SBIN,2026-06-11,LONG,previous_day,direct_5m_ob,2026-06-11 09:35:00,999.5,999.0,2026-06-11 09:40:00,2026-06-11 09:58:00,1001.45,998.95,1006.45,2026-06-11 10:53:00,1001.45,breakeven,0.0,0.0,2.5,0.0024963802486394726,1.7799999999999727,0.5200000000000273,55.0,-1,1,2026-06-11 09:44:00,2.300000000000068,1000.0,1002.9,
previous_day__market_1m_mss__no_bank_filter,train,SBIN,2025-09-01,SHORT,previous_day,market_1m_mss,2025-09-01 09:50:00,806.7,807.5,2025-09-01 10:05:00,2025-09-01 09:55:00,805.7,807.55,802.0000000000002,2025-09-01 11:23:00,805.7,breakeven,0.0,0.0,1.849999999999909,0.0022961400024822005,1.6486486486487666,0.4324324324324291,88.0,1,-1,2025-09-01 09:55:00,0.6499999999999773,806.4,807.5,
previous_day__market_1m_mss__no_bank_filter,train,SBIN,2025-09-29,SHORT,previous_day,market_1m_mss,2025-09-29 09:40:00,864.35,865.0,2025-09-29 09:55:00,2025-09-29 09:57:00,861.95,865.05,855.7500000000002,2025-09-29 12:58:00,861.95,breakeven,0.0,0.0,3.099999999999909,0.00359649631649157,1.9193548387097483,0.8709677419354874,181.0,1,-1,2025-09-29 09:57:00,0.2999999999999545,863.15,863.95,
previous_day__market_1m_mss__no_bank_filter,train,SBIN,2025-12-30,SHORT,previous_day,market_1m_mss,2025-12-30 10:35:00,968.9,969.45,2025-12-30 10:50:00,2025-12-30 10:53:00,968.15,969.5,965.4499999999999,2025-12-30 11:15:00,968.15,breakeven,0.0,0.0,1.3500000000000227,0.0013944120229303545,1.1111111111110923,0.03703703703708694,22.0,1,-1,2025-12-30 10:53:00,0.10000000000002274,968.55,969.3,
previous_day__market_1m_mss__no_bank_filter,train,SBIN,2026-01-01,SHORT,previous_day,market_1m_mss,2026-01-01 10:05:00,985.65,986.9,2026-01-01 10:10:00,2026-01-01 10:09:00,984.8,986.9499999999999,980.5,2026-01-01 10:27:00,984.8,breakeven,0.0,0.0,2.1499999999999773,0.0021831844029244285,1.4186046511627846,0.06976744186050815,18.0,-1,1,2026-01-01 10:09:00,0.8999999999999773,984.55,986.5,
previous_day__market_1m_mss__no_bank_filter,train,SBIN,2026-03-27,LONG,previous_day,market_1m_mss,2026-03-27 09:40:00,1043.0,1040.8,2026-03-27 10:00:00,2026-03-27 10:00:00,1041.4,1039.45,1045.3000000000002,2026-03-27 10:24:00,1045.3000000000002,target,3.900000000000091,2.0,1.9500000000000455,0.0018724793547148504,2.2051282051281302,0.7692307692307513,24.0,-1,1,2026-03-27 10:00:00,0.40000000000009095,1039.5,1041.3,
previous_day__market_1m_mss__no_bank_filter,train,SBIN,2026-04-01,SHORT,previous_day,market_1m_mss,2026-04-01 09:30:00,1009.4,1013.0,2026-04-01 09:35:00,2026-04-01 09:31:00,1006.85,1014.5,991.5500000000001,2026-04-01 11:30:00,1006.85,breakeven,0.0,0.0,7.649999999999977,0.007597954014997246,1.0980392156862748,0.3986928104575116,119.0,1,-1,2026-04-01 09:31:00,0.5500000000000682,1011.8,1014.45,
previous_day__market_1m_mss__no_bank_filter,test,SBIN,2026-04-28,LONG,previous_day,market_1m_mss,2026-04-28 09:30:00,1103.4,1099.35,2026-04-28 09:55:00,2026-04-28 09:32:00,1102.35,1099.3,1108.4499999999998,2026-04-28 09:43:00,1102.35,breakeven,0.0,0.0,3.0499999999999545,0.0027668163468952283,1.2786885245902129,0.27868852459013826,11.0,-1,1,2026-04-28 09:32:00,0.4500000000000455,1102.25,1104.3,
