Rule,Period,Signals,Count20,Mean20Pct,Median20Pct,Positive20Pct,BaselineMedian20Pct,MedianLift20Pct,Count60,Mean60Pct,Median60Pct,Positive60Pct,BaselineMedian60Pct,MedianLift60Pct,Count120,Mean120Pct,Median120Pct,Positive120Pct,BaselineMedian120Pct,MedianLift120Pct,Count252,Mean252Pct,Median252Pct,Positive252Pct,BaselineMedian252Pct,MedianLift252Pct
DailyDrop_0.75,Development,93,92,2.076709091126917,2.3644588619171847,75.0,2.0525768739019457,0.31188198801523903,88,6.278798896437482,6.723029763202848,81.81818181818183,5.808090184691483,0.9149395785113645,86,12.304696941195466,10.975348359889592,88.37209302325581,9.251863742368705,1.7234846175208869,82,26.138462387020844,19.327832338272554,96.34146341463415,18.5484494098076,0.7793829284649547
DailyDrop_0.75,Validation,32,31,1.1178769726731583,1.6444883144412614,67.74193548387096,2.081415579089374,-0.4369272646481126,29,4.195854230973873,4.740555125638224,79.3103448275862,5.75764046287317,-1.0170853372349464,26,9.094757891634577,8.811400897148092,88.46153846153845,13.776552975364108,-4.965152078216017,21,22.936119983990583,23.754677898757205,95.23809523809523,27.514059167119008,-3.7593812683618033
DailyDrop_0.75,FinalOOS,22,22,0.23217320775912975,0.529397938332743,59.09090909090909,0.40569191388903914,0.12370602444370382,20,1.63624269637326,2.219105733332638,60.0,0.742068109567029,1.477037623765609,16,3.2724910703229324,3.8197166056607723,75.0,1.527987764079819,2.2917288415809534,13,6.4867881436833255,8.070230493550913,92.3076923076923,6.4265911314855595,1.643639362065353
DailyDrop_1.00,Development,66,65,2.20832317359553,2.703136384137661,76.92307692307693,2.0525768739019457,0.6505595102357153,62,6.8420556204307665,6.729343048965431,80.64516129032258,5.808090184691483,0.9212528642739475,61,12.231982080937993,10.35717509704208,86.88524590163934,9.251863742368705,1.1053113546733755,59,27.58877703343458,19.56650219222893,96.61016949152543,18.5484494098076,1.0180527824213321
DailyDrop_1.00,Validation,27,26,1.532185106975192,1.6363306181343296,65.38461538461539,2.081415579089374,-0.44508496095504446,25,3.9092681556546807,4.034526537947869,80.0,5.75764046287317,-1.7231139249253014,22,8.499896510548757,8.811400897148092,86.36363636363636,13.776552975364108,-4.965152078216017,18,21.304604411667317,22.440747022990326,94.44444444444444,27.514059167119008,-5.073312144128682
DailyDrop_1.00,FinalOOS,15,15,0.8005403918420039,0.18008976610632832,53.333333333333336,0.40569191388903914,-0.22560214778271082,13,1.728343024434174,2.2836412776807924,61.53846153846154,0.742068109567029,1.5415731681137634,10,3.0995866368995437,3.9324147338239523,60.0,1.527987764079819,2.4044269697441334,8,8.10032141216474,8.090400257396901,100.0,6.4265911314855595,1.6638091259113414
DailyDrop_1.25,Development,44,43,2.016726162203477,2.3870885429956523,72.09302325581395,2.0525768739019457,0.33451166909370667,41,8.620154812135587,8.265819537893893,85.36585365853658,5.808090184691483,2.45772935320241,40,14.505132268831902,10.917966738744378,87.5,9.251863742368705,1.6661029963756722,38,32.06782744253066,21.735513679607898,100.0,18.5484494098076,3.187064269800299
DailyDrop_1.25,Validation,18,17,1.4612364379369642,2.3487681856771303,58.82352941176471,2.081415579089374,0.2673526065877563,16,2.9795952906684837,2.6847296531745113,68.75,5.75764046287317,-3.072910809698659,14,5.340024827482854,5.29978253591179,78.57142857142857,13.776552975364108,-8.476770439452318,12,14.768982645458268,16.783143628281195,83.33333333333334,27.514059167119008,-10.730915538837813
DailyDrop_1.25,FinalOOS,7,7,2.0870529457980926,1.9147948056223552,71.42857142857143,0.40569191388903914,1.509102891733316,6,3.522769761972897,2.769482227209552,83.33333333333334,0.742068109567029,2.027414117642523,4,3.4359518670827733,2.301647907161991,50.0,1.527987764079819,0.7736601430821719,4,9.041194897478988,9.04648939303786,100.0,6.4265911314855595,2.6198982615523
DailyDrop_1.50,Development,29,28,1.7435469032208855,2.153869787042706,71.42857142857143,2.0525768739019457,0.10129291314076028,27,9.27591973026959,8.273869834220804,85.18518518518519,5.808090184691483,2.4657796495293205,27,17.596107974725054,15.317377320889491,92.5925925925926,9.251863742368705,6.065513578520786,25,34.833772028642976,25.57593487172578,100.0,18.5484494098076,7.027485461918182
DailyDrop_1.50,Validation,13,12,1.379536158223089,1.2430324778596957,58.333333333333336,2.081415579089374,-0.8383831012296783,11,2.17130047218257,1.844668327933241,63.63636363636363,5.75764046287317,-3.9129721349399293,10,5.2387283554778525,3.696787171095106,70.0,13.776552975364108,-10.079765804269002,9,15.335117569951292,16.10921445755482,88.88888888888889,27.514059167119008,-11.404844709564188
DailyDrop_1.50,FinalOOS,3,3,4.919950668247633,4.205679866227441,100.0,0.40569191388903914,3.7999879523384017,2,7.409775783866701,7.409775783866701,100.0,0.742068109567029,6.667707674299672,1,11.926052519462393,11.926052519462393,100.0,1.527987764079819,10.398064755382574,1,10.954626437894577,10.954626437894577,100.0,6.4265911314855595,4.528035306409017
ThreeDayDrop_1.50,Development,64,63,1.6206587153112968,2.0739073138589914,69.84126984126983,2.0525768739019457,0.021330439957045755,61,6.712446887896021,6.508873212974198,80.32786885245902,5.808090184691483,0.7007830282827143,60,12.191622158932534,10.442690438112034,85.0,9.251863742368705,1.1908266957433291,56,26.956306384047537,20.613384239839515,98.21428571428571,18.5484494098076,2.064934830031916
