Weekday,count,mean,median
Monday,103,0.08314872509490633,0.12551139216168128
Tuesday,101,-0.035983643782593513,-0.06581265115835899
Wednesday,97,0.1283925453140183,0.07413200115709007
Thursday,97,-0.019089255330499554,0.02783954677219036
Friday,96,-0.08714214996543139,-0.07413073913539181
