Date,NAV,Return1,Return5,Drawdown20,DrawdownATH,RSI14,NiftyReturn1,NiftyReturn5,Forward20Pct,Forward60Pct,Forward120Pct,RecoveryNavDays
2024-09-06,85.1393,-0.012675064911871647,-0.00870331645840794,-0.014749941849632853,-0.014749941849632853,51.81677088025442,-0.010988355445261,-0.014991880223392928,1.9147948056223552,4.274133339603892,-2.7855408654552827,4
2024-10-03,87.4673,-0.0133022736374252,-0.01928965541212535,-0.023788291571194664,-0.023788291571194664,52.229095325189036,-0.021173808864292765,-0.02873507986237911,-1.4465091532957386,2.2836412776807924,-1.4056005690430085,43
2024-11-13,85.5923,-0.011481017804181759,-0.017138467332990404,-0.024675869267461237,-0.04471493448007613,40.07214575000518,-0.010067965583117844,-0.036376403920976186,4.556953757474891,0.22650637821899355,4.05950282899703,6
2024-12-20,86.8824,-0.012143207989957938,-0.028516415136745188,-0.030807381634708753,-0.030807381634708753,41.414117862489114,-0.013796873793660458,-0.046403941681832706,-1.9557497326570084,-2.522116555821796,4.071504955137839,5
2025-01-13,85.0944,-0.013715015583401047,-0.025783517370472908,-0.050752921832000086,-0.050752921832000086,31.079015482115807,-0.014875828538635893,-0.02289078105427078,0.6475876802563674,-1.1474799246647849,8.627006362264922,5
2025-02-11,85.9313,-0.010786443386137545,-0.023422504014555923,-0.023422504014555923,-0.041417115013704264,42.139295940810335,-0.013071070604315116,-0.026877343647844443,-3.384668362064358,4.697399433678218,6.453136524496794,27
2025-04-07,82.0594,-0.018628964649575197,-0.04359785128455562,-0.056113681275578586,-0.08460902613780497,30.087381371009158,-0.029419017503889866,-0.053506787571051984,8.370652426507608,12.143189124288313,11.926052519462393,3
2025-05-09,86.8646,-0.011002948844940907,-0.012730622483227316,-0.013591637662315526,-0.031005944618775816,52.06006531113918,-0.004779726837265574,-0.01131051898830493,2.591674698754831,2.388294408884861,5.496070326469482,1
2025-05-20,89.6835,-0.011186562893820251,0.00910840065711005,-0.011186562893820251,-0.011186562893820251,61.07107254769187,-0.008882971363947223,0.004887440457191028,1.255985320316877,2.391680029199117,4.606985757636095,13
2026-01-20,92.76,-0.011618490704354945,-0.016633272906529162,-0.02710288313592546,-0.031461828569996575,27.21216703745212,-0.012918941128132966,-0.022504369122029244,-0.16705516705516343,-1.2744971078304412,-1.5617715617715522,6
2026-03-09,89.7713,-0.010742059438367035,-0.02374111516142796,-0.04651377686387559,-0.06266784444917795,30.202985418460955,-0.018946112287183237,-0.04670039472952692,-0.39268463144483956,-1.7265517180367174,,24
2026-03-19,87.7072,-0.01866728726856104,-0.017538357105011837,-0.059363551345739785,-0.084219802617016,30.308446700179857,-0.028456789863701926,-0.023329744684181253,4.205679866227441,2.6763624434450906,,12
2026-03-30,85.2599,-0.013711576813981496,-0.02882876110025201,-0.07280238901020508,-0.10977288009589325,27.850875540128953,-0.020153681122616507,-0.03265448148124139,6.550464005303591,4.856678326616315,,3
2026-05-12,89.6375,-0.013135441139880188,-0.016669043518325433,-0.027701095439591317,-0.06406489498105938,42.60126740264675,-0.01636415921680412,-0.025843843481767825,-1.4188229395872165,2.8626020109740136,,9
2026-07-08,90.0327,-0.01624034353522219,-0.0029733824135226294,-0.01624034353522219,-0.059938479658192434,47.75702498401721,-0.01886257909021105,-0.003845680852261224,2.183519712007853,,,17
