Strategy,Rule,WaitDays,CoreFraction,Period_Dev,Months_Dev,Contributed_Dev,FinalValue_Dev,GainPct_Dev,Units_Dev,WeightedAverageNAV_Dev,AverageDelayDays_Dev,SignalBuys_Dev,UnitLiftVsImmediatePct_Dev,Period_Val,Months_Val,Contributed_Val,FinalValue_Val,GainPct_Val,Units_Val,WeightedAverageNAV_Val,AverageDelayDays_Val,SignalBuys_Val,UnitLiftVsImmediatePct_Val,Pass,Score
Core75_Dip25_5,TwentyDayDD_2,5,0.75,Development,104,1040000.0,2895769.232723285,178.43934930031585,53174.26117920539,19.55833474573424,3.7788461538461537,37,-0.07270167056047105,Validation,32,320000.0,466452.9929718694,45.766560303709205,5461.2178510473295,58.59498901671387,3.5625,13,-0.07069864485192978,False,-0.14340031541240084
Core75_Dip25_5,DailyDrop_1.50,5,0.75,Development,104,1040000.0,2895752.110107879,178.4377028949884,53173.94676104894,19.558450394391684,4.836538461538462,10,-0.0732925383266303,Validation,32,320000.0,466403.2118627226,45.751003707100814,5460.6350152932155,58.60124309788121,4.75,5,-0.08136336676962674,False,-0.15465590509625704
Core75_Dip25_5,DailyDrop_1.00,5,0.75,Development,104,1040000.0,2895479.4929989893,178.41148971144128,53168.940763614395,19.560291874607234,4.5673076923076925,21,-0.08270001833640128,Validation,32,320000.0,466344.52154601715,45.73266298313037,5459.947870800405,58.60861817222613,4.46875,9,-0.09393672878692527,False,-0.17663674712332655
Core75_Dip25_5,Daily1_DD2,5,0.75,Development,104,1040000.0,2895473.804477743,178.4109427382445,53168.83630677058,19.56033030325257,4.653846153846154,16,-0.08289631801152719,Validation,32,320000.0,466298.59754381387,45.71831173244183,5459.410193940351,58.614390315492805,4.625,6,-0.10377513378111436,False,-0.18667145179264155
Core75_Dip25_5,DailyDrop_1.25,5,0.75,Development,104,1040000.0,2895359.335936316,178.39993614772268,53166.73435056154,19.56110362435709,4.730769230769231,12,-0.08684640214091655,Validation,32,320000.0,466315.48953601415,45.723590480004425,5459.60796488562,58.612267045204234,4.59375,6,-0.10015632330181434,False,-0.1870027254427309
Core75_Dip25_5,DailyDrop_0.75,5,0.75,Development,104,1040000.0,2895649.8074420947,178.4278661002014,53172.068203666575,19.55914139010837,4.346153846153846,32,-0.07682280202589986,Validation,32,320000.0,466261.3449323362,45.70667029135507,5458.974041466542,58.6190733953431,4.3125,13,-0.11175584672478145,False,-0.1885786487506813
Core75_Dip25_5,SixtyDayDD_4,5,0.75,Development,104,1040000.0,2895855.736424865,178.44766696392935,53175.849624295835,19.5577505079454,4.076923076923077,26,-0.06971659802889052,Validation,32,320000.0,466220.4613203253,45.69389416260166,5458.495377345842,58.62421379490073,4.21875,9,-0.12051443729376166,False,-0.19023103532265218
Core75_Dip25_5,ThreeDayDrop_2.50,5,0.75,Development,104,1040000.0,2894542.962068314,178.32143866041483,53151.743488449174,19.566620617553415,4.903846153846154,5,-0.11501785797872754,Validation,32,320000.0,466414.8601134791,45.754643785462214,5460.771392668692,58.599779589677205,4.90625,3,-0.07886793512348333,False,-0.19388579310221088
Core75_Dip25_5,RSI_35,5,0.75,Development,104,1040000.0,2895071.49352028,178.37225899233462,53161.448774751225,19.56304848663084,4.711538461538462,9,-0.09677927754204729,Validation,32,320000.0,466318.78422873456,45.72462007147955,5459.646539050584,58.61185293061976,4.9375,2,-0.0994504936754792,False,-0.1962297712175265
Core75_Dip25_5,DD3_RSI35,5,0.75,Development,104,1040000.0,2895071.49352028,178.37225899233462,53161.448774751225,19.56304848663084,4.711538461538462,9,-0.09677927754204729,Validation,32,320000.0,466318.78422873456,45.72462007147955,5459.646539050584,58.61185293061976,4.9375,2,-0.0994504936754792,False,-0.1962297712175265
Core75_Dip25_15,TwentyDayDD_2,15,0.75,Development,104,1040000.0,2893278.1378017575,178.19982094247672,53128.51784769864,19.575174353279074,9.192307692307692,55,-0.15866445467236368,Validation,32,320000.0,466565.63159473543,45.80175987335482,5462.536620713688,58.58084297075002,8.28125,24,-0.046567812681908016,False,-0.2052322673542717
Core75_Dip25_10,TwentyDayDD_2,10,0.75,Development,104,1040000.0,2894686.646952829,178.3352545146951,53154.38193680699,19.56564938026017,6.740384615384615,50,-0.1100595753372513,Validation,32,320000.0,466324.9939371146,45.72656060534832,5459.719242132707,58.6110724395051,6.28125,17,-0.09812017351592539,False,-0.2081797488531767
Core75_Dip25_5,TwentyDayDD_4,5,0.75,Development,104,1040000.0,2895143.5248465408,178.37918508139813,53162.771467358216,19.56256175693468,4.538461538461538,15,-0.09429361820600946,Validation,32,320000.0,466247.9411500818,45.70248160940056,5458.817110380191,58.62075858733302,4.375,7,-0.1146273699358491,False,-0.20892098814185855
Core75_Dip25_5,FiveDayDrop_2.00,5,0.75,Development,104,1040000.0,2894634.9868380954,178.3302871959707,53153.433315486494,19.565998565458447,4.653846153846154,17,-0.11184226424711952,Validation,32,320000.0,466323.0721244009,45.72596003887528,5459.6967416062735,58.61131398771687,4.71875,4,-0.09853188788951917,False,-0.21037415213663868
Core75_Dip25_5,FiveDayDrop_3.00,5,0.75,Development,104,1040000.0,2894424.5422102795,178.3100521356038,53149.56897523563,19.567421148505925,4.903846153846154,5,-0.11910429426937874,Validation,32,320000.0,466354.4727850561,45.735772745330024,5460.064379612865,58.60736756050648,4.875,3,-0.09180485187808562,False,-0.21090914614746437
Core75_Dip25_5,SixtyDayDD_5,5,0.75,Development,104,1040000.0,2895661.8417032836,178.42902324070033,53172.28918569108,19.55906010305588,4.365384615384615,19,-0.07640752335161816,Validation,32,320000.0,466148.1223557598,45.671288236174924,5457.648434887407,58.63331136436634,4.375,5,-0.13601178064606145,False,-0.2124193039976796
Core75_Dip25_5,TwentyDayDD_3,5,0.75,Development,104,1040000.0,2895587.227343314,178.42184878301092,53170.91906150442,19.55956410678176,4.211538461538462,24,-0.07898231809840839,Validation,32,320000.0,466158.38206647214,45.674494395772534,5457.7685552771,58.63202089993226,4.09375,8,-0.13381381913859514,False,-0.21279613723700352
Core75_Dip25_5,ThreeDayDrop_1.50,5,0.75,Development,104,1040000.0,2894556.865741224,178.32277555204078,53151.99879799743,19.566526631528735,4.519230769230769,21,-0.11453806958431345,Validation,32,320000.0,466322.20314428274,45.72568848258835,5459.686567612742,58.61142320847927,4.59375,8,-0.09871805150601931,False,-0.21325612109033276
Core75_Dip25_5,Drop3_2_DD3,5,0.75,Development,104,1040000.0,2894483.4892706242,178.3157201221754,53150.65140485298,19.567022651862395,4.836538461538462,8,-0.11707014720471198,Validation,32,320000.0,466323.0721244009,45.72596003887528,5459.6967416062735,58.61131398771687,4.71875,5,-0.09853188788951917,False,-0.21560203509423115
Core75_Dip25_5,Drop5_2_RSI35,5,0.75,Development,104,1040000.0,2894496.903581305,178.31700995974086,53150.89772836924,19.566931970086014,4.875,5,-0.11660724573793191,Validation,32,320000.0,466318.78422873456,45.72462007147955,5459.646539050584,58.61185293061976,4.9375,2,-0.0994504936754792,False,-0.2160577394134111
Core75_Dip25_5,RSI_30,5,0.75,Development,104,1040000.0,2894299.79605436,178.29805731291924,53147.27829385087,19.5682645167613,4.855769230769231,5,-0.12340903865202257,Validation,32,320000.0,466346.02357548795,45.73313236733998,5459.965456517042,58.60842940279895,5.0,0,-0.09361494554640526,False,-0.21702398419842783
Core75_Dip25_5,ThreeDayDrop_2.00,5,0.75,Development,104,1040000.0,2894332.0820868323,178.3011617391185,53147.871153911576,19.5680462344061,4.730769230769231,12,-0.12229491119937208,Validation,32,320000.0,466323.0721244009,45.72596003887528,5459.6967416062735,58.61131398771687,4.71875,5,-0.09853188788951917,False,-0.22082679908889125
Core75_Dip25_5,FiveDayDrop_2.50,5,0.75,Development,104,1040000.0,2894352.4722584207,178.30312233254045,53148.24557335678,19.567908381181866,4.788461538461538,10,-0.12159128649879003,Validation,32,320000.0,466284.6724900658,45.71396015314557,5459.247159822762,58.61614076663072,4.75,4,-0.10675833018749525,False,-0.22834961668628528
Core75_Dip25_5,RSI_40,5,0.75,Development,104,1040000.0,2895208.479091473,178.3854306818724,53163.96420535188,19.562122869221742,4.586538461538462,17,-0.09205217502131768,Validation,32,320000.0,466123.45646996313,45.66358014686347,5457.3596474257465,58.63641406718448,4.53125,5,-0.1412960102942784,False,-0.2333481853155961
Core75_Dip25_15,TwentyDayDD_3,15,0.75,Development,104,1040000.0,2892572.9284911994,178.132012354923,53115.568271592274,19.57994678099343,11.278846153846153,33,-0.1829998403669486,Validation,32,320000.0,466499.4253271716,45.78107041474111,5461.761479690436,58.58915684800961,11.1875,11,-0.06075133419998213,False,-0.24375117456693074
Core75_Dip25_15,Daily1_DD2,15,0.75,Development,104,1040000.0,2892515.1177502177,178.12645362982863,53114.50670791338,19.580338112131113,12.384615384615385,29,-0.1849947752862846,Validation,32,320000.0,466436.3170992006,45.7613490935002,5461.022610423145,58.597083884844956,11.65625,14,-0.07427115554514696,False,-0.25926593083143157
Core75_Dip25_10,DailyDrop_1.00,10,0.75,Development,104,1040000.0,2894284.6472918843,178.2966007011427,53147.000121045065,19.568366937575888,8.201923076923077,37,-0.12393179263743281,Validation,32,320000.0,466116.62666840194,45.66144583387561,5457.279684310991,58.63727324072481,7.5,16,-0.14275917444733777,False,-0.2666909670847706
Core75_Dip25_10,Daily1_DD2,10,0.75,Development,104,1040000.0,2894228.3112962637,178.2911837784869,53145.965637733665,19.568747834766963,8.692307692307692,25,-0.12587583699615879,Validation,32,320000.0,466098.3334814479,45.655729212952465,5457.0655082189705,58.63957460617672,8.4375,10,-0.14667816611299012,False,-0.2725540031091489
