variant,filter,train_trades,train_win_rate,train_pf,train_exp,train_dd,train_dur,test_trades,test_win_rate,test_pf,test_exp,test_dd,test_dur
fakeout_reversion|or15|end=11:30|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,direction=SHORT & or_size=small_or,20,70.0,4.000000000000058,0.7875000000000101,-1.000000000000039,44.3,0,0.0,0.0,0.0,0.0,0.0
breakout_close|or30|end=10:30|rr=2.0|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,18,66.66666666666666,4.000000000000048,1.0000000000000053,-1.9999999999999893,42.333333333333336,0,0.0,0.0,0.0,0.0,0.0
breakout_retest|or30|end=10:30|rr=2.0|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,18,66.66666666666666,4.000000000000048,1.0000000000000053,-1.9999999999999893,42.333333333333336,0,0.0,0.0,0.0,0.0,0.0
breakout_retest|or15|end=11:30|rr=1.5|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,macro_alignment=mixed_or_neutral & or_size=small_or,18,72.22222222222221,3.9000000000000807,0.8055555555555705,-2.0000000000000195,42.333333333333336,1,0.0,0.0,-0.999999999999976,0.0,14.0
breakout_retest|or15|end=10:30|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,signal_bucket=10:00-10:30 & macro_alignment=aligned_1d_1w,18,72.22222222222221,3.9000000000000528,0.8055555555555591,-1.9999999999999876,28.72222222222222,1,100.0,999.0,1.4999999999999865,0.0,93.0
breakout_retest|or15|end=11:30|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,signal_bucket=10:00-10:30 & macro_alignment=aligned_1d_1w,18,72.22222222222221,3.9000000000000528,0.8055555555555591,-1.9999999999999876,28.72222222222222,1,100.0,999.0,1.4999999999999865,0.0,93.0
breakout_close|or30|end=11:30|rr=1.5|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,direction=LONG & or_size=small_or,25,72.0,3.7226890756303406,0.7623529411764842,-1.0000000000000213,45.32,1,0.0,0.0,-0.99999999999998,0.0,9.0
ema_structure_break|or15|end=14:15|rr=1.5|atr=1.0|vol=0.8|vwap=1|ema=0|macro=none|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,22,72.72727272727273,3.694586530264385,0.7348872355266356,-1.3913043478261002,49.5,0,0.0,0.0,0.0,0.0,0.0
ema_structure_break|or15|end=14:15|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,22,72.72727272727273,3.69458653026438,0.7348872355266352,-1.3913043478261002,50.72727272727273,0,0.0,0.0,0.0,0.0,0.0
ema_structure_break|or15|end=14:15|rr=1.5|atr=1.0|vol=0.8|vwap=1|ema=0|macro=not_both_against|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,25,72.0,3.595359883083767,0.726700767263441,-2.391304347826093,45.8,0,0.0,0.0,0.0,0.0,0.0
ema_structure_break|or15|end=14:15|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=not_both_against|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,25,72.0,3.595359883083763,0.7267007672634408,-2.391304347826093,46.88,0,0.0,0.0,0.0,0.0,0.0
breakout_retest|or30|end=11:30|rr=1.5|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,direction=LONG & or_size=small_or,21,71.42857142857143,3.593137254902034,0.7408963585434296,-2.0000000000000266,44.38095238095238,0,0.0,0.0,0.0,0.0,0.0
breakout_retest|or30|end=10:30|rr=2.0|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,signal_bucket=10:00-10:30 & macro_alignment=aligned_1d_1w,20,65.0,3.556851311953392,0.894897959183678,-2.999999999999953,58.55,2,50.0,2.0000000000000644,0.5000000000000161,-0.9999999999999678,72.5
breakout_retest|or30|end=11:30|rr=2.0|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,signal_bucket=10:00-10:30 & macro_alignment=aligned_1d_1w,20,65.0,3.556851311953392,0.894897959183678,-2.999999999999953,58.55,2,50.0,2.0000000000000644,0.5000000000000161,-0.9999999999999678,72.5
ema_structure_break|or15|end=14:15|rr=2.0|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,or_size=small_or & gap_direction=gap_up,20,65.0,3.508403361344631,0.8779411764706063,-3.0,70.4,1,0.0,0.0,-0.99999999999998,0.0,9.0
ema_structure_break|or15|end=14:15|rr=2.0|atr=1.0|vol=0.8|vwap=1|ema=0|macro=none|band=1.2,or_size=small_or & gap_direction=gap_up,20,65.0,3.508403361344631,0.8779411764706063,-3.0,70.4,1,0.0,0.0,-0.99999999999998,0.0,9.0
breakout_close|or30|end=11:30|rr=2.0|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,20,65.0,3.5084033613445933,0.8779411764705964,-1.9999999999999893,53.2,0,0.0,0.0,0.0,0.0,0.0
breakout_retest|or30|end=11:30|rr=2.0|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,20,65.0,3.5084033613445933,0.8779411764705964,-1.9999999999999893,53.2,0,0.0,0.0,0.0,0.0,0.0
ema_structure_break|or15|end=11:30|rr=1.5|atr=1.0|vol=0.8|vwap=1|ema=0|macro=none|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,17,70.58823529411765,3.4117647058824416,0.7093425605536469,-2.0000000000000053,41.0,0,0.0,0.0,0.0,0.0,0.0
ema_structure_break|or15|end=11:30|rr=1.5|atr=1.0|vol=0.8|vwap=1|ema=0|macro=not_both_against|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,17,70.58823529411765,3.4117647058824416,0.7093425605536469,-2.0000000000000053,41.0,0,0.0,0.0,0.0,0.0,0.0
breakout_close|or30|end=11:30|rr=1.5|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,17,70.58823529411765,3.4117647058824367,0.7093425605536443,-1.0,60.0,0,0.0,0.0,0.0,0.0,0.0
ema_structure_break|or15|end=11:30|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,17,70.58823529411765,3.411764705882436,0.7093425605536465,-2.0000000000000053,42.588235294117645,0,0.0,0.0,0.0,0.0,0.0
ema_structure_break|or15|end=11:30|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=not_both_against|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,17,70.58823529411765,3.411764705882436,0.7093425605536465,-2.0000000000000053,42.588235294117645,0,0.0,0.0,0.0,0.0,0.0
breakout_close|or15|end=10:30|rr=1.5|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,macro_alignment=mixed_or_neutral & or_size=small_or,16,68.75,3.3000000000000647,0.7187500000000147,-2.0000000000000284,48.6875,1,0.0,0.0,-0.999999999999976,0.0,14.0
ema_structure_break|or15|end=14:15|rr=2.0|atr=1.0|vol=0.8|vwap=1|ema=0|macro=not_both_against|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,25,64.0,3.240835464620708,0.8067007672634385,-2.9999999999999325,54.64,0,0.0,0.0,0.0,0.0,0.0
