date,open,prev_close,gap_pct,direction,filled_first_60m
2025-06-20,787.5,783.0,0.5747126436781658,gap_up,False
2025-06-23,790.0,795.25,-0.6601697579377563,gap_down,False
2025-06-24,799.0,789.95,1.1456421292486807,gap_up,False
2025-06-25,799.5,795.75,0.47125353440151674,gap_up,False
2025-06-26,802.0,800.0,0.24999999999999467,gap_up,True
2025-06-27,805.0,797.5,0.940438871473348,gap_up,False
2025-06-30,809.0,804.55,0.5531042197501668,gap_up,False
2025-07-04,808.75,807.0,0.21685254027261625,gap_up,True
2025-07-09,810.0,812.25,-0.27700831024930483,gap_down,True
2025-07-15,811.0,809.1,0.23482882214806988,gap_up,False
2025-07-17,838.4,830.5,0.9512341962673032,gap_up,True
2025-07-18,832.0,828.75,0.39215686274509665,gap_up,True
2025-07-22,827.5,823.05,0.5406718911366237,gap_up,True
2025-07-23,812.5,815.05,-0.31286424145757774,gap_down,True
2025-07-31,795.1,800.0,-0.6124999999999936,gap_down,False
2025-08-07,801.1,804.6,-0.4349987571464098,gap_down,True
2025-08-11,808.0,802.6,0.6728133565910843,gap_up,False
2025-08-12,824.95,821.0,0.481120584652861,gap_up,False
2025-08-18,836.0,825.5,1.2719563900666309,gap_up,False
2025-08-26,814.85,816.5,-0.2020820575627691,gap_down,False
2025-08-29,800.7,802.75,-0.25537215820615744,gap_down,True
2025-09-04,814.65,813.0,0.202952029520298,gap_up,True
2025-09-05,811.5,809.85,0.20374143359880303,gap_up,True
2025-09-09,812.0,808.0,0.4950495049504955,gap_up,True
2025-09-10,812.0,808.0,0.4950495049504955,gap_up,False
2025-09-18,858.65,856.9,0.2042245302835699,gap_up,True
2025-09-19,852.0,854.1,-0.24587284861258274,gap_down,True
2025-09-24,876.0,869.5,0.7475560667050019,gap_up,False
2025-10-08,866.8,864.15,0.30665972342764913,gap_up,True
2025-10-09,861.6,857.3,0.5015747113029434,gap_up,False
2025-10-13,879.0,880.95,-0.22135194959986837,gap_down,True
2025-10-15,878.1,876.0,0.2397260273972579,gap_up,False
2025-10-20,894.6,888.0,0.7432432432432412,gap_up,False
2025-10-23,912.0,907.05,0.5457251529684237,gap_up,True
2025-10-24,910.95,909.1,0.20349796502034945,gap_up,True
2025-10-27,906.95,903.5,0.3818483674598916,gap_up,False
2025-10-29,933.9,930.5,0.36539494895218017,gap_up,True
2025-11-04,951.0,948.6,0.25300442757747454,gap_up,True
2025-11-06,969.65,954.6,1.5765765765765716,gap_up,False
