trades,win_rate,profit_factor,expectancy_r,max_drawdown_r,avg_trade_duration_min,avg_r,gross_profit_r,gross_loss_r,variant,set_name,setup,boundary,rr
127,43.30708661417323,1.1223201401772946,0.06934685112413495,-14.99999999999987,44.110236220472444,0.06934685112413495,80.80705009276454,71.9999999999994,breakout_close|or15|end=10:30|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,train,breakout_close,or15,1.5
34,32.35294117647059,0.7173913043478295,-0.19117647058823203,-8.999999999999853,62.470588235294116,-0.19117647058823203,16.49999999999999,22.999999999999876,breakout_close|or15|end=10:30|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,test,breakout_close,or15,1.5
73,43.83561643835616,1.156047784967656,0.08764327648868257,-12.499999999999808,39.054794520547944,0.08764327648868257,47.39795918367342,40.99999999999959,breakout_close|or15|end=10:30|rr=1.5|atr=1.0|vol=0.8|vwap=1|ema=1|macro=not_both_against|band=1.2,train,breakout_close,or15,1.5
17,23.52941176470588,0.4615384615384601,-0.4117647058823514,-8.999999999999918,40.23529411764706,-0.4117647058823514,5.999999999999944,12.999999999999918,breakout_close|or15|end=10:30|rr=1.5|atr=1.0|vol=0.8|vwap=1|ema=1|macro=not_both_against|band=1.2,test,breakout_close,or15,1.5
97,43.29896907216495,1.0911030209682644,0.05165635209540732,-14.002040816326225,49.876288659793815,0.05165635209540732,60.01066615325407,54.99999999999957,breakout_close|or15|end=10:30|rr=1.5|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,train,breakout_close,or15,1.5
26,30.76923076923077,0.6666666666666706,-0.23076923076922679,-8.999999999999918,62.73076923076923,-0.23076923076922679,12.000000000000007,17.999999999999904,breakout_close|or15|end=10:30|rr=1.5|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,test,breakout_close,or15,1.5
58,46.55172413793103,1.2229247146211004,0.11914941643541493,-10.102040816326465,50.327586206896555,0.11914941643541493,37.91066615325388,30.999999999999808,breakout_close|or15|end=10:30|rr=1.5|atr=1.0|vol=1.2|vwap=1|ema=1|macro=not_both_against|band=1.2,train,breakout_close,or15,1.5
12,16.666666666666664,0.30000000000000016,-0.5833333333333305,-7.499999999999952,54.166666666666664,-0.5833333333333305,2.9999999999999876,9.999999999999954,breakout_close|or15|end=10:30|rr=1.5|atr=1.0|vol=1.2|vwap=1|ema=1|macro=not_both_against|band=1.2,test,breakout_close,or15,1.5
127,36.22047244094488,1.080254302220519,0.05118581480206307,-16.102040816326234,60.275590551181104,0.05118581480206307,87.50059847986124,80.99999999999925,breakout_close|or15|end=10:30|rr=2.0|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,train,breakout_close,or15,2.0
34,23.52941176470588,0.6153846153846201,-0.2941176470588185,-13.999999999999854,73.23529411764706,-0.2941176470588185,16.00000000000004,25.999999999999865,breakout_close|or15|end=10:30|rr=2.0|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,test,breakout_close,or15,2.0
73,36.986301369863014,1.110684947190669,0.06974667905165335,-14.102040816326396,55.397260273972606,0.06974667905165335,51.09150757077023,45.99999999999951,breakout_close|or15|end=10:30|rr=2.0|atr=1.0|vol=0.8|vwap=1|ema=1|macro=not_both_against|band=1.2,train,breakout_close,or15,2.0
17,17.647058823529413,0.42857142857142944,-0.47058823529411453,-10.99999999999993,52.470588235294116,-0.47058823529411453,5.999999999999982,13.99999999999993,breakout_close|or15|end=10:30|rr=2.0|atr=1.0|vol=0.8|vwap=1|ema=1|macro=not_both_against|band=1.2,test,breakout_close,or15,2.0
97,35.051546391752574,0.9852468618763127,-0.00944819706001503,-18.12273047149884,66.6082474226804,-0.00944819706001503,61.2042145403505,62.120689655171965,breakout_close|or15|end=10:30|rr=2.0|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,train,breakout_close,or15,2.0
26,15.384615384615385,0.3636363636363634,-0.5384615384615352,-15.999999999999893,78.42307692307692,-0.5384615384615352,7.999999999999947,21.999999999999865,breakout_close|or15|end=10:30|rr=2.0|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,test,breakout_close,or15,2.0
58,39.6551724137931,1.1458347011528776,0.08800369897156358,-11.102040816326507,65.70689655172414,0.08800369897156358,40.10421454035047,34.99999999999979,breakout_close|or15|end=10:30|rr=2.0|atr=1.0|vol=1.2|vwap=1|ema=1|macro=not_both_against|band=1.2,train,breakout_close,or15,2.0
12,8.333333333333332,0.18181818181818074,-0.7499999999999986,-9.999999999999964,70.0,-0.7499999999999986,1.9999999999999818,10.999999999999964,breakout_close|or15|end=10:30|rr=2.0|atr=1.0|vol=1.2|vwap=1|ema=1|macro=not_both_against|band=1.2,test,breakout_close,or15,2.0
154,40.25974025974026,0.9822377567627957,-0.010611210245602671,-16.999999999999833,41.48701298701299,-0.010611210245602671,90.36587362217648,91.99999999999926,breakout_close|or15|end=11:30|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,train,breakout_close,or15,1.5
48,37.5,0.9000000000000031,-0.06249999999999769,-13.499999999999874,53.083333333333336,-0.06249999999999769,26.999999999999932,29.999999999999822,breakout_close|or15|end=11:30|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,test,breakout_close,or15,1.5
91,40.65934065934066,0.9991996798719607,-0.0004749152408147138,-18.941176470587862,39.16483516483517,-0.0004749152408147138,53.95678271308529,53.99999999999941,breakout_close|or15|end=11:30|rr=1.5|atr=1.0|vol=0.8|vwap=1|ema=1|macro=not_both_against|band=1.2,train,breakout_close,or15,1.5
31,29.03225806451613,0.6136363636363628,-0.27419354838709653,-12.499999999999956,35.225806451612904,-0.27419354838709653,13.49999999999994,21.999999999999932,breakout_close|or15|end=11:30|rr=1.5|atr=1.0|vol=0.8|vwap=1|ema=1|macro=not_both_against|band=1.2,test,breakout_close,or15,1.5
