Time,mean_abs_return,median_abs_return,mean_volume_share,median_volume_share
09:15,,,0.04375572613679921,0.03650833312756218
09:16,0.0012328484020953329,0.0009087993157275154,0.011144292319236408,0.009557756073558568
09:17,0.0009299129625190644,0.0007436347088725093,0.0077264431242492475,0.006424084049481962
09:18,0.000858952406863586,0.000697767145135586,0.0064763423188825536,0.005426591151293192
09:19,0.0007998413755109923,0.0005846709896883961,0.006287409822213356,0.004852387699265995
09:20,0.0008479189273925958,0.0006607033949990182,0.005509083225097587,0.0045530809115697886
09:21,0.0007151915268047161,0.0005655817779834926,0.004400403093485313,0.0036928935758184685
09:22,0.0006765406464703746,0.000535905680600135,0.004234038825025567,0.0034973731047106002
09:23,0.0006347210629961057,0.000480871981192621,0.0039918006716997525,0.0033249282502746573
09:24,0.0006465918976855382,0.0005197235070941719,0.0037037328005485636,0.0031444283097225812
09:25,0.0006374777092588283,0.0004891038530514535,0.0035840296314622404,0.0029482167668112885
09:26,0.0006024229933404465,0.000467601870407508,0.0033609585840022713,0.002762977840253191
09:27,0.0005873129992712517,0.0004587456582998417,0.0032287746356346584,0.002630344490391414
09:28,0.0005811302787371747,0.0004489001945233717,0.003116375483774435,0.002570749867223759
09:29,0.000515604876587719,0.0003988035892322772,0.0030750048603048422,0.00243539931735046
09:30,0.0006262380319256374,0.00047505938242276,0.003375927843704745,0.0027272180121071473
09:31,0.0005611992224871278,0.00041620733874769833,0.003056511527543427,0.0025098066775193217
09:32,0.0005690537404808997,0.00044642857142862535,0.002688162621735575,0.002280707961323921
09:33,0.0005517854175634794,0.00045210511443904977,0.0030016511644659757,0.0022009706053708277
09:34,0.0005490810243171601,0.0003945291951605867,0.0027669234073978205,0.00222022161280686
09:35,0.0005100267103180318,0.00036457320629978973,0.0027625853511409476,0.002130698774204233
09:36,0.0005337656819516241,0.00041834502707294163,0.0026062034222748046,0.00204404538959068
09:37,0.0005048978192241086,0.0003709198813057757,0.0025690700138886703,0.001993605935944761
09:38,0.0004846961829323483,0.0003350308228357024,0.0026229814429537274,0.002013840551713009
09:39,0.00046266147360219236,0.0003696857670979492,0.00242027711579124,0.0020056284341545966
09:40,0.0004919874639830753,0.00040160642570286065,0.0024202417525071226,0.0019673468094056007
09:41,0.00048822092820998434,0.0003618506073921335,0.0024952107086690413,0.0018956306195960274
09:42,0.0004437352632611509,0.0003586065573770725,0.002357847660171747,0.001865004954667398
09:43,0.00048001306222001267,0.0003472222222222765,0.0022024869186786622,0.0018106859713964587
09:44,0.0004662255948141447,0.000379733101876889,0.002252536479163934,0.0018272027603121732
09:45,0.0005151216817732988,0.00039161934599563075,0.00266368081597039,0.0019834990841318
09:46,0.0004916355491880591,0.0003766123717163783,0.0025230325468285457,0.001921881098503554
09:47,0.0004522231464887373,0.0003348513260112984,0.00247549328244251,0.00183928343466399
09:48,0.0004345662947740188,0.0003469491603830255,0.0024928498010767823,0.001789932287798309
09:49,0.00046312858967856687,0.00034962851969777553,0.0024336645446693546,0.0017311531853636374
09:50,0.00043821040259367283,0.0003327470646955488,0.002608728229082776,0.0018582151699670206
09:51,0.00042972237380623684,0.0003050640634533197,0.0023713710782043602,0.0017596597241393414
09:52,0.0004486934323029182,0.0003390022035143492,0.0023264109218663676,0.0016829152328542713
09:53,0.00042190974036297686,0.0003160156743774456,0.0021956743652662802,0.0016456273031251745
09:54,0.0004211761060710062,0.0003032447184877496,0.002185783281982242,0.0016155950735203145
09:55,0.0004272527732533797,0.00031930519190237483,0.002186721206687908,0.001627980058099919
09:56,0.00042509252350512555,0.0003607131814901132,0.002170538050340086,0.0015298366299367184
09:57,0.00039831144546841,0.0003029232089666323,0.002354873213984118,0.0015509413269751864
09:58,0.0004343442560324049,0.00032523850823928946,0.0021330382441088,0.0015718342265045003
09:59,0.0004072584079206088,0.00030062530062524573,0.0024597844912959623,0.0016192663563381804
10:00,0.00046262645783768784,0.00035507760982045333,0.002154859034439085,0.0017104397894321054
10:01,0.0004069913270695055,0.00031271173190172696,0.0020660120925987376,0.00154255730603615
10:02,0.00042745682215084853,0.0003113486586061587,0.0019274055034329532,0.001474515900568517
10:03,0.0004237967877080129,0.00030758189367929845,0.0019766713710917135,0.001498663871567928
10:04,0.0003749340310781511,0.00028980467165129475,0.0019427577951077264,0.001516695346730271
10:05,0.0004010275289668553,0.0003023126920945751,0.0019221579160549529,0.0015037988221680953
10:06,0.00041456089532755246,0.0003072702331960997,0.0026287341418463938,0.0014694393323939653
10:07,0.00039735398444614854,0.00030259017187117543,0.0019879414196496466,0.0014633342257291322
10:08,0.00037401913006149116,0.0002888503755054117,0.001693820488111046,0.0012897022280486474
10:09,0.00039186281124463574,0.00028534578201866445,0.0018065028248924868,0.001417716906877864
10:10,0.00038102028740285025,0.0002985371678774218,0.0019517723527699914,0.0014268124935630003
10:11,0.00034093735211668865,0.00025094102885825365,0.0018878948571649057,0.0013962235467105599
10:12,0.0003805481687579533,0.0002989834562486804,0.0019480102156762512,0.0014248445166933634
10:13,0.0003617684284654663,0.0002950897072711012,0.002004173707784402,0.0013801129755153972
10:14,0.000372401254787095,0.0002627568448158035,0.0018429892651171207,0.0013992841357179091
10:15,0.0003946247351555189,0.0003022061045632185,0.002449721719382206,0.0015602849494714764
10:16,0.0004003885186202056,0.00030989956958393794,0.0020101212568776686,0.0014644788638665913
10:17,0.0003871905903403179,0.0002911547196180475,0.0019921785354311303,0.0014281512072192675
10:18,0.0003965527503071675,0.00029892387405350274,0.0019954573673898668,0.0014486340029507962
10:19,0.0003762564933576326,0.00027197932957090387,0.0018891455325375105,0.0014422550930034152
10:20,0.0003826766651622071,0.00030006001200233445,0.0019755180390392518,0.0014117643297790136
10:21,0.00038063282793892575,0.0002678954136304812,0.0020636054835420675,0.0013929942324495451
10:22,0.00041083618180089013,0.0002865822204389801,0.002030863402200193,0.001344643952233956
10:23,0.00034176540319872945,0.00024795437639468787,0.0018735158965340769,0.0012890119568131294
10:24,0.00033492761840790344,0.00025385865150284737,0.0017786316094855247,0.0012794053791238967
10:25,0.00035453610665497307,0.00024859543578781285,0.0021536397337598304,0.0013530557799164707
10:26,0.00038205651843050694,0.00030072173215722753,0.0017731626489182217,0.0013869997376492874
10:27,0.00036902109030200484,0.0002627568448158035,0.001877792118172132,0.0012556130222693132
10:28,0.00037106172746356834,0.0002780867630700623,0.0017127348629421392,0.001297819854436512
10:29,0.0003401596190497723,0.0002627706537733365,0.002133881856158369,0.0012693750867553756
10:30,0.00038615203446286915,0.0002707025962840337,0.001838962144067673,0.001332451616623174
10:31,0.0003930998716227318,0.00030737704918026854,0.0018350844051451055,0.0013439817129439623
10:32,0.00034932697284256796,0.00026842362127865727,0.0018373438177938313,0.0012656572738463283
10:33,0.000367249434745861,0.0002676659528906278,0.001779624991521156,0.0012595547998293442
10:34,0.00038404446193521924,0.0002699618372130619,0.0017960174853628805,0.0013250982968372818
10:35,0.0003628857855826027,0.000271134970988518,0.0019190937482278765,0.001339593700898522
10:36,0.00038348069374930416,0.0002955432084170706,0.0018324869125261253,0.0013267943114008307
10:37,0.00036400404496294756,0.00026780931976422284,0.0016909788966484656,0.0012526743642445402
10:38,0.00034234269388350077,0.0002682763246142361,0.0017405106502862218,0.0012869566959734912
10:39,0.0003547611071724991,0.00024233612019886053,0.0017933887000914925,0.001239143870042356
10:40,0.00036042276009346863,0.00025321584118298546,0.0018863432102061168,0.00129255653690943
10:41,0.00036230797406793674,0.00026267402153923314,0.0019146749881975517,0.0013808131165664597
10:42,0.0003366251594823715,0.00020868113522531928,0.0017533864654611245,0.0012428832639443358
10:43,0.0003393408538242072,0.0002543881963876782,0.001640546438738239,0.0012223295186707748
10:44,0.0003363595810201931,0.00025310048089088877,0.001656248970584249,0.0012479742646673484
10:45,0.0003428054211329034,0.0002509662199468021,0.001815070055648798,0.0012982878504128393
10:46,0.00037097411855348175,0.0002980033773716251,0.0018621511948524886,0.0013339724360739364
10:47,0.00033214992870311946,0.0002435816242023492,0.0017796254448757664,0.0012722379819269532
10:48,0.0003458761070110495,0.0002601456815816139,0.00162875124150285,0.0012102430027491104
10:49,0.00032834858834034374,0.00023110700254214134,0.001692951630272835,0.0012063541346571491
10:50,0.0003452126983828904,0.00024635092689540006,0.0018424677417789772,0.001215079579427819
10:51,0.00033698764771795026,0.0002480774001488717,0.0017907354713755674,0.001263737403520693
10:52,0.0003324670533569463,0.0002555257442187209,0.0017937695578759982,0.001202153947781126
10:53,0.00032186408576227586,0.00022256843979517882,0.0016645199681503034,0.0012237337960625037
10:54,0.0003140646496901719,0.00021029388570537044,0.0017179013518533136,0.001267526146724067
10:55,0.00032838810866541395,0.00021564504825044573,0.0018575524071727373,0.001273390785736284
10:56,0.0003501192847489132,0.0002690210080951161,0.0017395724631068526,0.0012375496391717072
10:57,0.0003378942801148541,0.0002543752543753275,0.0018566856376875085,0.0012501125201844867
10:58,0.0003478717606784692,0.00025007502250673497,0.0018525434138932917,0.0012416642703198014
10:59,0.0003208203106875272,0.00023788284270009896,0.0017279975355410514,0.0012410858656130008
11:00,0.000371987198380829,0.0002676229727560653,0.00202475558547627,0.001479331509726678
11:01,0.0003395084713014333,0.0002506265664159457,0.0018534231759139905,0.0013305217135310475
11:02,0.00034923463481772283,0.0002608922515001666,0.0019959722688090106,0.0012738698177327556
11:03,0.00032466507884321025,0.0002538071065989467,0.0018306112267870824,0.001353154406160104
11:04,0.00029351708227704057,0.0002034070683956113,0.0017915447871439203,0.0012219849192842966
11:05,0.000331358909357016,0.0002453385672228636,0.0018939865594467871,0.0012571102357658503
11:06,0.00032065920073632155,0.00023412898165608986,0.0017341447353003512,0.0012150567461135966
11:07,0.0003244223042427348,0.00024151672503325283,0.0016683205037530948,0.0012345390668810569
11:08,0.0003094362809730697,0.00022084534691124702,0.0016520376673528883,0.0011994672000597932
11:09,0.00031463722178596133,0.00024375380865326868,0.0016846768176638587,0.0012377060135768292
11:10,0.00030974703637545557,0.00021937842778796401,0.0016663953179660044,0.001234407845825364
11:11,0.0003061496091122227,0.00021171987108603574,0.0016523069420822985,0.001182646120563215
11:12,0.00031330160696559805,0.00020415107179305725,0.001855077971335115,0.001245052627329882
11:13,0.0003122098524389011,0.0002513067953356929,0.0018289711230222493,0.00119133843952907
11:14,0.0003119411800505721,0.00021850494063946346,0.001758315852687311,0.0011051157823586187
11:15,0.0003313288270358014,0.0002488800398208202,0.0017311594026557882,0.0012627467923426576
11:16,0.00032761083853666284,0.00024196963281108985,0.0016396630264925692,0.0012255106550671867
11:17,0.0003228030731664759,0.00021001785151741892,0.0019118339044001777,0.0012089388922080146
11:18,0.0003256521230116892,0.00021005093735237956,0.0018695639656525626,0.0012529663246400578
11:19,0.0003060048990334332,0.0002369022659701736,0.001734381909467059,0.0012020949922803403
11:20,0.0003188822598874842,0.00021439674116963126,0.001788434228639462,0.0012472912003788229
11:21,0.0003308278637857743,0.0002513826043237799,0.0017272148578680567,0.0011755229741132077
11:22,0.00032329369942919105,0.00024749012729607944,0.00175755967588642,0.0011755836586479847
11:23,0.0003270686878670942,0.00022525059128275515,0.0017642690936287293,0.001185946347105718
11:24,0.00031838614347405207,0.0002122141004479161,0.0018194654168039298,0.0012171906590692204
11:25,0.00032168857601852133,0.00020693222969492275,0.001784291806459788,0.0012407266095434118
11:26,0.0003434278661073794,0.00025087807325641087,0.0017834924886108486,0.001239577161474987
11:27,0.0003298331039971622,0.00023348665623745823,0.001874284969701533,0.0012464110684330056
11:28,0.0003461506552588135,0.0002179005284088653,0.0020921643809409746,0.0011967121813988024
11:29,0.0003041096036579879,0.00020702862170685066,0.001722868537865358,0.0012112384038882602
11:30,0.00031976015971481157,0.0002458573044206158,0.0018943431585397945,0.0012535576748684118
11:31,0.000330730876385884,0.0002528572873470303,0.0016443144267774227,0.001147184674161464
11:32,0.00031171546308632266,0.0002440512507627668,0.0016134269072290476,0.001180939379784897
11:33,0.00033288636592142224,0.00024480403437032727,0.0015520216051389906,0.00108739461387561
11:34,0.00029201643217845023,0.00021675517502983688,0.0017080586335871013,0.0011445943295259968
11:35,0.00028137689879925834,0.0002044571662236372,0.0014877941884207644,0.001082373537768562
11:36,0.00029059210314891383,0.00020487604998975506,0.0017052036143436332,0.0011723370829560928
