break_type,Days,MedianDayReturn,MedianClosePosition,CloseAboveOR,CloseBelowOR
low_only,180,-0.006491775606766392,0.29919731289295126,0.0,0.6111111111111112
high_only,173,0.00705446284450284,0.677611940298502,0.5953757225433526,0.0
low_then_high,81,0.0016959798994975461,0.6707317073170757,0.4567901234567901,0.13580246913580246
high_then_low,64,-0.0040140381796842095,0.25877702859800084,0.078125,0.484375
neither,10,0.0025405433922738307,0.3397934112219837,0.0,0.0
