name,strength_atr,position_min,volume_quantile,target_r,volume_cutoff,Trades,WinRate,ProfitFactor,Expectancy,MaxDrawdown
opening_drive,0.15,0.7,0.25,1.5,0.6557702374544552,82,0.4634146341463415,0.8515412078298572,-0.0004918570609951307,-0.050945313058631814
opening_drive,0.15,0.7,0.25,2.0,0.6557702374544552,82,0.4634146341463415,0.9290685563586,-0.00023500212342841137,-0.0509453130586317
opening_drive,0.15,0.7,0.5,1.5,0.9273838643283765,57,0.40350877192982454,0.663856329877615,-0.001248449912057938,-0.07060501110892292
opening_drive,0.15,0.7,0.5,2.0,0.9273838643283765,57,0.40350877192982454,0.6670189423591356,-0.0012367038533771658,-0.08070459738639035
opening_drive,0.15,0.7,0.75,1.5,1.3418780666299799,32,0.46875,0.8272215031837994,-0.0005638010506891184,-0.03560643939847574
opening_drive,0.15,0.7,0.75,2.0,1.3418780666299799,32,0.46875,0.9429332118319091,-0.00018621712609787045,-0.0318076700156259
opening_drive,0.15,0.8,0.25,1.5,0.6557702374544552,62,0.45161290322580644,0.858034973053574,-0.0004934918127783533,-0.050945313058631814
opening_drive,0.15,0.8,0.25,2.0,0.6557702374544552,62,0.45161290322580644,0.9007286622515098,-0.0003450821197034817,-0.05094531305863159
opening_drive,0.15,0.8,0.5,1.5,0.9273838643283765,41,0.3902439024390244,0.6324509788205899,-0.0014556721270678021,-0.052538190037850985
opening_drive,0.15,0.8,0.5,2.0,0.9273838643283765,41,0.3902439024390244,0.579566953369194,-0.001665118479474668,-0.06708501787303389
opening_drive,0.15,0.8,0.75,1.5,1.3418780666299799,22,0.4090909090909091,0.6759077491875611,-0.0012338270858080834,-0.030308876000762597
opening_drive,0.15,0.8,0.75,2.0,1.3418780666299799,22,0.4090909090909091,0.7096475315233829,-0.0011053789133792463,-0.0293759936645952
opening_drive,0.15,0.9,0.25,1.5,0.6557702374544552,36,0.4444444444444444,0.9435634930955963,-0.00017493086328320274,-0.029031283912555494
opening_drive,0.15,0.9,0.25,2.0,0.6557702374544552,36,0.4444444444444444,1.0388362035681986,0.0001203768799570607,-0.025119890335749684
opening_drive,0.15,0.9,0.5,1.5,0.9273838643283765,24,0.375,0.542480997054618,-0.0016625135514605524,-0.055789610089849284
opening_drive,0.15,0.9,0.5,2.0,0.9273838643283765,24,0.375,0.49990753785590514,-0.001817215219357968,-0.0628479238891736
opening_drive,0.15,0.9,0.75,1.5,1.3418780666299799,13,0.23076923076923078,0.15452727409383943,-0.004177179290274587,-0.05628805328062214
opening_drive,0.15,0.9,0.75,2.0,1.3418780666299799,13,0.23076923076923078,0.1819520641114137,-0.004041683180948578,-0.05628805328062214
opening_drive,0.25,0.7,0.25,1.5,0.6557702374544552,59,0.4745762711864407,0.9149786082155373,-0.00026957462508652954,-0.039587249189347196
opening_drive,0.25,0.7,0.25,2.0,0.6557702374544552,59,0.4745762711864407,0.9530412576397967,-0.0001488905921274281,-0.039587249189347196
opening_drive,0.25,0.7,0.5,1.5,0.9273838643283765,40,0.425,0.7508565122395237,-0.0008712290559880759,-0.04400007717295373
