Family,Variant,StopLookback,TargetR,Deviation,NiftyTolerance,Trades,WinRate,ProfitFactor,Expectancy,MaxDrawdown
trend_pullback,base,10,1.5,,,198,0.3282828282828283,0.4855355877195207,-0.0010211130960798022,-0.18710617154973797
trend_pullback,base,10,2.0,,,198,0.2727272727272727,0.513916165211202,-0.0010435734801835094,-0.19225097103315913
trend_pullback,base,20,1.5,,,198,0.3838383838383838,0.5806447283298638,-0.0009427578314175594,-0.17537773175036364
trend_pullback,base,20,2.0,,,198,0.32323232323232326,0.5755694625213876,-0.0010193666872738234,-0.18426851362621988
trend_pullback,nifty_10bp,10,1.5,,,155,0.3161290322580645,0.4138012270841295,-0.001105642557820875,-0.16428402760015903
trend_pullback,nifty_10bp,10,2.0,,,155,0.2967741935483871,0.5326924875007492,-0.000908707331396647,-0.14455206377322427
trend_pullback,nifty_10bp,20,1.5,,,155,0.4129032258064516,0.5866240477735326,-0.0007866528047880755,-0.1226856149139205
trend_pullback,nifty_10bp,20,2.0,,,155,0.3935483870967742,0.711032022312124,-0.000563903370262434,-0.10050725694891272
trend_pullback,hdfc_5m,10,1.5,,,187,0.37433155080213903,0.5661367675479383,-0.0008893828300402553,-0.15748082182540635
trend_pullback,hdfc_5m,10,2.0,,,187,0.31016042780748665,0.5933399739567428,-0.0009056809986587608,-0.16167525675218408
trend_pullback,hdfc_5m,20,1.5,,,187,0.40641711229946526,0.6124413614305378,-0.0009080124731327242,-0.161387347798296
trend_pullback,hdfc_5m,20,2.0,,,187,0.3315508021390374,0.5723184572257363,-0.0010851662179375413,-0.18518947895102078
trend_pullback,nifty_10bp_hdfc_5m,10,1.5,,,140,0.36428571428571427,0.481904083337128,-0.0010001958970347288,-0.1365015726781028
trend_pullback,nifty_10bp_hdfc_5m,10,2.0,,,140,0.3357142857142857,0.6022761198258013,-0.0008035799961669622,-0.118332751313737
trend_pullback,nifty_10bp_hdfc_5m,20,1.5,,,140,0.44285714285714284,0.6193361325290972,-0.0007619286329180037,-0.1045064147641005
trend_pullback,nifty_10bp_hdfc_5m,20,2.0,,,140,0.4142857142857143,0.7147996200876078,-0.0005919377551644099,-0.0909830385395568
trend_pullback,nifty_10bp_hdfc_15m,10,1.5,,,134,0.373134328358209,0.5057198695723449,-0.0009455964972403455,-0.1234673719031335
trend_pullback,nifty_10bp_hdfc_15m,10,2.0,,,134,0.34328358208955223,0.6295260575867581,-0.0007387445325062626,-0.1041646992833053
trend_pullback,nifty_10bp_hdfc_15m,20,1.5,,,134,0.4626865671641791,0.6710471053419442,-0.0006587409813630931,-0.0906492819235335
trend_pullback,nifty_10bp_hdfc_15m,20,2.0,,,134,0.43283582089552236,0.7832614871287297,-0.00044499259732980743,-0.07255374737755849
vwap_fade,fade,10,,0.003,0.001,139,0.26618705035971224,0.5051328831263073,-0.000869199226631257,-0.1170605051524033
vwap_fade,fade,10,,0.003,0.002,177,0.23728813559322035,0.4143631649292808,-0.0010702539195643086,-0.17569813459357952
vwap_fade,fade,20,,0.003,0.001,138,0.2898550724637681,0.5355646985901968,-0.0008284434317111298,-0.11133352518803252
vwap_fade,fade,20,,0.003,0.002,176,0.25,0.433654634849051,-0.0010470282721057997,-0.17145694443075554
vwap_fade,fade,10,,0.005,0.001,63,0.31746031746031744,0.8627308996176114,-0.00022604610856676589,-0.032108826902013554
vwap_fade,fade,10,,0.005,0.002,92,0.2391304347826087,0.5870059273917662,-0.0007619958799508332,-0.06724949093991672
vwap_fade,fade,20,,0.005,0.001,63,0.3333333333333333,0.883298575621972,-0.0002000231714624243,-0.03403169179674492
vwap_fade,fade,20,,0.005,0.002,92,0.25,0.601048678531906,-0.0007483074968420522,-0.0660913743470507
