Date,Family,Variant,SignalTime,Direction,NiftyFromOpen,HDFCVWAPDistance,EntryTime,EntryPrice,Stop,Target,ExitTime,ExitPrice,ExitReason,GrossReturn,NetReturn
2026-01-27,trend_pullback,nifty_10bp_hdfc_15m,10:52,-1,-0.002443807392068509,-0.0004238430903913404,10:53,911.8,918.5,898.3999999999999,12:10,918.5,stop,-0.0073481026540909156,-0.008348102654090916
2026-03-17,trend_pullback,nifty_10bp_hdfc_15m,10:41,-1,-0.0010726508095959542,-0.00029559670330281396,10:42,841.7,847.0,831.1000000000001,15:06,847.0,stop,-0.0062967803255316035,-0.0072967803255316035
2026-03-24,trend_pullback,nifty_10bp_hdfc_15m,10:35,-1,-0.009508948377184634,-0.00025188577390189426,10:36,754.2,758.75,745.1000000000001,11:28,758.75,stop,-0.0060328825245292705,-0.0070328825245292706
2026-04-07,trend_pullback,nifty_10bp_hdfc_15m,11:22,1,0.00371299592358576,0.001110095581941195,11:23,765.4,761.6,772.9999999999999,15:02,772.9999999999999,target,0.009929448654298234,0.008929448654298233
2026-06-04,trend_pullback,nifty_10bp_hdfc_15m,09:48,1,0.004282195387512955,0.0018090302985467321,09:49,748.4,745.0,755.1999999999999,12:10,755.1999999999999,target,0.00908605024051301,0.00808605024051301
2026-06-05,trend_pullback,nifty_10bp_hdfc_15m,09:55,-1,-0.0010264513532335373,-0.00016353081491804478,09:56,754.9,758.7,747.2999999999998,13:30,747.2999999999998,target,0.010067558617035566,0.009067558617035565
