latest_signal,stop_mode,target_r,rvol_filter,rvol_cutoff,position_min,gap_alignment,Trades,WinRate,ProfitFactor,Expectancy,MaxDrawdown
10:00,midpoint,1.0,none,0.0,0.7,False,124,0.5,0.6307887608822189,-0.0008751201909071918,-0.12350501494811128
10:00,midpoint,1.0,none,0.0,0.7,True,68,0.5147058823529411,0.6059342877402788,-0.0009543894466814395,-0.06535952125426714
10:00,midpoint,1.0,median,0.9258669933704685,0.7,False,57,0.47368421052631576,0.5533014561019166,-0.0011949623295923507,-0.06984525220855053
10:00,midpoint,1.0,median,0.9258669933704685,0.7,True,32,0.53125,0.5669418421373992,-0.0011821927758579693,-0.03714297489400398
10:00,midpoint,1.5,none,0.0,0.7,False,124,0.4032258064516129,0.6148531742647516,-0.0010379606190231325,-0.13501460873888205
10:00,midpoint,1.5,none,0.0,0.7,True,68,0.4264705882352941,0.6524773834544908,-0.0009563614248522281,-0.06588002704982232
10:00,midpoint,1.5,median,0.9258669933704685,0.7,False,57,0.38596491228070173,0.5815506195810061,-0.0012408216541035866,-0.07697936069733258
10:00,midpoint,1.5,median,0.9258669933704685,0.7,True,32,0.46875,0.6364324117562213,-0.0010849468231386708,-0.04242778558102289
10:00,opposite_boundary,1.0,none,0.0,0.7,False,109,0.44954128440366975,0.7409459721835112,-0.000787398458310906,-0.10488933083362983
10:00,opposite_boundary,1.0,none,0.0,0.7,True,60,0.5,0.8342475965775268,-0.0005106459498315576,-0.0418010615383968
10:00,opposite_boundary,1.0,median,0.9258669933704685,0.7,False,49,0.46938775510204084,0.6332319951608075,-0.0013428972618741825,-0.06844896653356858
10:00,opposite_boundary,1.0,median,0.9258669933704685,0.7,True,28,0.5714285714285714,0.7211065709233153,-0.0010397885847009398,-0.04472554346167956
10:00,opposite_boundary,1.5,none,0.0,0.7,False,109,0.3761467889908257,0.7264819164208666,-0.0009076157600122392,-0.11640448327150521
10:00,opposite_boundary,1.5,none,0.0,0.7,True,60,0.4166666666666667,0.7878321856422543,-0.0007015447487296523,-0.059662053929890324
10:00,opposite_boundary,1.5,median,0.9258669933704685,0.7,False,49,0.40816326530612246,0.6237276969333162,-0.0014557316455611042,-0.07826024616544036
10:00,opposite_boundary,1.5,median,0.9258669933704685,0.7,True,28,0.4642857142857143,0.591426259231535,-0.0016715556377146896,-0.06326011672580478
11:30,midpoint,1.0,none,0.0,0.7,False,134,0.47761194029850745,0.5764065928359272,-0.0010572084231826385,-0.15065739404020773
11:30,midpoint,1.0,none,0.0,0.7,True,73,0.4931506849315068,0.5442962756677683,-0.0011739815265429483,-0.08701912420701063
11:30,midpoint,1.0,median,0.9258669933704685,0.7,False,64,0.4375,0.4842867511522023,-0.0014837700158141954,-0.0890840658080373
11:30,midpoint,1.0,median,0.9258669933704685,0.7,True,34,0.5,0.48623515980640447,-0.0015391100318269135,-0.05105473933308913
11:30,midpoint,1.5,none,0.0,0.7,False,134,0.3880597014925373,0.5701327562830856,-0.0012020408006299184,-0.16145270454868133
11:30,midpoint,1.5,none,0.0,0.7,True,73,0.410958904109589,0.5939333478726417,-0.001170944078525887,-0.0875275676650965
11:30,midpoint,1.5,median,0.9258669933704685,0.7,False,64,0.359375,0.515905324267123,-0.001517912753463546,-0.09719809781238453
11:30,midpoint,1.5,median,0.9258669933704685,0.7,True,34,0.4411764705882353,0.5525361489556601,-0.0014475844292675733,-0.05626319284612924
11:30,opposite_boundary,1.0,none,0.0,0.7,False,116,0.4396551724137931,0.6940051608451321,-0.0009640859295249571,-0.11805443208759236
11:30,opposite_boundary,1.0,none,0.0,0.7,True,64,0.484375,0.7746851503053566,-0.0007140937081483976,-0.049692814578848
11:30,opposite_boundary,1.0,median,0.9258669933704685,0.7,False,53,0.4528301886792453,0.5990964623270983,-0.0015005296173658228,-0.07415300261343571
11:30,opposite_boundary,1.0,median,0.9258669933704685,0.7,True,29,0.5517241379310345,0.7023893935074899,-0.0010998582318199205,-0.04738293392251969
11:30,opposite_boundary,1.5,none,0.0,0.7,False,116,0.3706896551724138,0.6843929251565646,-0.0010770487388822442,-0.1348761302720224
11:30,opposite_boundary,1.5,none,0.0,0.7,True,64,0.40625,0.7358575712358364,-0.0008930613321153615,-0.06813382719942129
11:30,opposite_boundary,1.5,median,0.9258669933704685,0.7,False,53,0.39622641509433965,0.5921198400014954,-0.0016048481985103352,-0.08364483517798005
11:30,opposite_boundary,1.5,median,0.9258669933704685,0.7,True,29,0.4482758620689655,0.5774046119574051,-0.0017098402140400925,-0.06586594755595354
