Date,Open,High,Low,Close,Volume,Bars,r5,r15,r30,r60,r_after15,r_mid,r_to1430,r_close60,r_close30,r_close15,opening15_volume_share,opening15_volume,opening30_volume_share,closing60_volume_share,closing30_volume_share,closing15_volume_share,opening15_close_position,day_close_position,position_1430,vwap_0929,vwap_1429,vwap_close,opening_range_pct,opening_range_share,or_high,or_low,break_type,first_high_break,first_low_break,close_above_or,close_below_or,PrevClose,gap,daily_return,atr20_pct,r15_atr,r_to1430_atr,ema20,ema50,trend_regime,prior_trend_regime,next_gap,opening15_rvol20,nifty_gap,nifty_r15,nifty_r_to1430,nifty_r_close60,nifty_daily_return,r15_relative_nifty,close60_relative_nifty
2024-06-26,853.98,855.45,845.55,846.75,47590118.0,375,-0.006826857771844774,-0.007295252816225228,-0.008138363896110001,-0.007587999718962957,-0.0011795930404010502,0.006843657817109161,-0.0007962715754468164,-0.007676081096917753,-0.0070709913459509055,-0.004502809847398259,0.08159080420855438,3882916,0.12355476823991064,0.3653223133424464,0.26696773477216423,0.11297379006288659,0.10744985673352407,0.1212121212121247,0.7828282828282757,850.0991722028839,851.6052484563004,851.4680277035663,0.008240850059031857,0.7050505050505004,853.98,847.0,low_then_high,12:11,09:45,False,True,,,,,,,846.75,846.75,mixed,,0.0015352819604368406,,,-0.0011465617899851788,0.005996265243581211,-0.001051733999291815,,-0.00614869102624005,-0.006624347097625938
2024-06-27,848.05,856.5,843.3,848.0,55058266.0,375,-0.0027946465420670696,-0.0011791757561464555,-0.00023583515122915788,0.00705147102175574,0.0011215394604804363,-0.004625130264744759,0.0023937267849774013,-0.0024468285337850837,-0.0057217897007785234,0.001263386584487547,0.06274618238068014,3454696,0.08303207369443855,0.41451192814535787,0.32842080424399855,0.11563785899105504,0.4672897196261662,0.3560606060606083,0.5136363636363684,847.0414496827892,848.9645986338198,848.9424091259975,0.0063347344739803635,0.4053030303030306,849.9,844.55,high_then_low,09:49,10:45,False,False,846.75,0.0015352819604368406,0.0014762326542663295,,,,846.8690476190477,846.7990196078432,uptrend,mixed,0.0009433962264151496,,0.0017323643837627856,-0.0025898653981838438,0.002594052731083263,0.0038674379267860104,0.008215098415494726,0.0014106896420373882,-0.006314266460571094
2024-06-28,848.8,853.3,839.5,842.5,26471404.0,375,0.00406456173421299,0.0013312912346843397,0.002120640904806903,0.002768614514608858,-0.008741896391467496,-0.006755565998942559,-0.004005655042412792,-0.0034303288384196495,-0.0010671093194213332,0.0023437592947306296,0.11930141672878401,3158076,0.15289653695738994,0.3953655801558542,0.3015632264915,0.1384094323066506,0.29791666666665906,0.2173913043478268,0.20762286860581286,851.1223508047306,848.9231855097684,846.3662095666203,0.005657041838538435,0.34782608695651956,853.3,848.5,low_only,,09:31,False,True,848.0,0.0009433962264151496,-0.006485849056603765,,,,846.452947845805,846.6304306036141,downtrend,uptrend,-0.0029673590504450953,,0.0020718835418391812,0.0021049659759442285,0.00044009150581869605,-0.0035980329093436847,-0.0010941874929792927,-0.0007736747412598888,0.00016770407092403516
2024-07-01,840.0,853.65,840.0,852.1,21181302.0,375,0.0050357142857142545,0.0050357142857142545,0.009857142857142787,0.008571428571428674,0.009322104165926381,0.006350330500472179,0.014976190476190476,-0.0005629970208074209,-0.00079739205891316,-0.0007388036072378812,0.1003615358489294,2125788,0.16186153240249349,0.25114065226018684,0.1512129896453013,0.07531123440853636,0.8849372384937327,0.8864468864468896,0.9318518518518549,842.3159088174989,848.9724914570521,849.8788131677019,0.005690476190476135,0.3501831501831488,844.78,840.0,high_only,09:30,,True,False,842.5,-0.0029673590504450953,0.011394658753709264,,,,846.9907623366807,846.8449235211194,uptrend,downtrend,0.006337284356296102,,-0.0007017967663203173,0.0020735257648600847,0.005745437722330937,-0.0003170222288526592,0.004720988929520553,0.00296218852085417,-0.0002459747919547617
2024-07-02,857.5,867.45,851.38,864.0,45918076.0,375,0.0008513119533528624,0.00038483965014579624,-0.0053294460641399866,0.00017492711370259428,0.007192567291887553,0.006995860782370356,0.007172011661807476,0.0004052567591037448,-0.0006130498652446859,-0.0027470624899005314,0.10266109581769062,4714000,0.16320139371693188,0.20799582282149626,0.12862342054575632,0.04912901838482954,0.3321976149914896,0.7853142501555672,0.7635345364032323,858.3205337717437,860.3161793086254,861.2038273193325,0.006858438098798825,0.3652769135034217,861.75,855.88,low_then_high,11:20,09:31,True,False,852.1,0.006337284356296102,0.013965497007393468,,,,848.6106897331874,847.5176716183305,uptrend,uptrend,0.03645833333333326,,0.004377537759372219,-0.0034628282515607456,-0.004341949130681533,-0.00023835629498980548,-0.00022177866489248022,0.003847667901706542,0.0006436130540935503
2024-07-03,895.5,897.0,882.33,883.85,123207406.0,375,-0.007671691792294766,-0.01200446677833611,-0.00795086543830259,-0.0037967615857062986,-0.001017236507487973,-0.009864364981504337,-0.01362367392518149,0.0006226650062266526,-0.0012430080795525766,-0.0014122698000226253,0.31771807613578035,39145220,0.39705501144955524,0.20558785240556074,0.14760921108914507,0.06938026111839413,0.054054054054057374,0.10361281526925603,0.05190311418685105,889.0309020588805,889.171346558238,888.1659886762554,0.014648492732311613,0.882753919563741,897.0,884.05,low_only,,14:16,False,True,864.0,0.03645833333333326,0.022974537037037113,,,,851.966814520503,848.9424688097685,uptrend,uptrend,-0.004491712394637082,,0.007212515237708272,-0.002513198925561122,-0.0016137165910237172,0.001577153742596149,0.007173125243596035,-0.009491267852774987,-0.0009544887363694965
2024-07-04,879.88,879.88,862.43,864.0,45839152.0,375,-0.008410237759694517,-0.008557985179797223,-0.008410237759694517,-0.009239896349502175,-0.009571846162664044,-0.0075136220246629914,-0.016684093285447954,-0.001386962552011095,-0.0009019635051689123,0.0004052567591037448,0.181668064016542,8327510,0.24174936744030517,0.2219628321221998,0.13257470382523656,0.06716306619284755,0.24321608040201625,0.0899713467048737,0.1037851037851066,873.1592463493488,868.500262905218,867.5545924214882,0.011437701884059681,0.5702005730659037,879.88,869.93,low_only,,09:36,False,True,883.85,-0.004491712394637082,-0.02245856197318552,,,,853.112832185217,849.5329602289933,uptrend,uptrend,-0.0248842592592593,,0.003258435292374129,-0.00021748095502860387,-0.0013951608435799345,-0.0012861630632869936,0.0005701747163535664,-0.008340504224768619,-0.0001007994887241015
2024-07-05,842.5,842.5,821.1,824.98,82229132.0,375,-0.008451038575667646,-0.010445103857566695,-0.012997032640949646,-0.015632047477744715,-0.010459397864939435,-0.008537011804709893,-0.024035608308605294,0.003320158102766868,0.0039306358381503426,0.0012136216898468444,0.2048673698756786,16846066,0.2665798296399383,0.17963818467644777,0.12266229442869468,0.054090562454192026,0.0880829015544067,0.18130841121495325,0.047954866008461806,836.4667379327612,829.4673390901306,828.391843420569,0.011586720297772635,0.45093457943925175,842.5,832.85,low_only,,09:30,False,True,864.0,-0.0248842592592593,-0.04516203703703703,,,,850.433514834244,848.5700990435425,mixed,uptrend,-0.002824310892385329,,-0.003756482812959816,-0.001127477197496396,0.0004274501463037428,0.003841279408182796,0.0004978471197898404,-0.0093176266600703,-0.000521121305415928
2024-07-08,822.65,827.48,813.58,818.18,39077954.0,375,9.724670272892588e-05,0.002710751838570502,-0.0004497660001215875,-0.0001823375676168748,-0.008122393560275443,-0.0025167173252280683,-0.002698596000729414,-0.0027424643174920327,-0.0003665330857199889,0.0011379626797185516,0.20868641178092384,8155038,0.2787390557857763,0.17576856761743462,0.12324969725897113,0.06037501349226216,0.7519083969465632,0.33093525179855515,0.4928057553956777,822.620629288709,820.4869927089533,820.0732339704035,0.012827417380661066,0.7539568345323766,827.48,817.0,low_only,,12:05,False,False,824.98,-0.002824310892385329,-0.008242624063613757,,,,847.3617515166969,847.3783304535998,downtrend,mixed,-0.006942237649416927,,0.0005222737413510536,-0.00025483518945146333,-0.0008898680405846626,0.0009564831041888322,0.0005880720079780577,0.0029655870280219654,-0.003698947421680865
2024-07-09,812.5,823.35,810.18,819.13,48546776.0,375,0.009513846153846206,0.011569230769230776,0.012283076923076841,0.012307692307692353,-0.003370239688526566,-0.005434650455927059,0.006806153846153906,0.0013446939598793506,0.0005252229143763998,0.0019938837920490116,0.20047539305184756,9732434,0.2331196205490556,0.2704299457496415,0.17008647494943846,0.07070014288899432,0.9156249999999972,0.679574791192103,0.5960516324981002,817.6047484106577,819.8258080035174,819.4462518561473,0.015798958256190154,0.9719058466211083,822.98,810.18,high_only,09:46,,False,False,818.18,-0.006942237649416927,0.0011611136913638465,,,,844.6730132770115,846.2705527887528,downtrend,downtrend,-0.005066350884474935,,0.0008199399532695661,0.0004168206644492578,0.0025543098846043666,0.00016589386069831846,0.0035427981940772124,0.011152410104781518,0.0011788000991810321
