Symbol,Sessions,GapCorrelation,First15Correlation,DailyCorrelation,GapDirectionMatch,First15DirectionMatch,DailyDirectionMatch,MedianAbsFirst30,MedianOpening30VolumeShare,MedianAbsClosing30,BothOpeningSidesBroken
HDFCBANK,529,0.7720988569707179,0.4687587956373996,0.7008081115318884,0.7613636363636364,0.6704545454545454,0.7462121212121212,0.0038236014128674167,0.14526281943979824,0.0015503875968991832,0.28733459357277885
CGPOWER,1282,0.7309577997069696,0.2544058754549315,0.43392067355137276,0.6609848484848485,0.5852272727272727,0.6420454545454546,0.0073386497921559,0.1417160073272074,0.00320877221445675,0.29797191887675506
