latest_signal,stop_mode,target_r,rvol_filter,rvol_cutoff,Trades,WinRate,ProfitFactor,Expectancy,MaxDrawdown
11:30,midpoint,1.0,none,0.0,30,0.3,0.3081800755319502,-0.0017917250279604364,-0.05641303978228551
11:30,midpoint,1.0,median,0.9258669933704685,12,0.3333333333333333,0.36437477472797863,-0.00183860110380532,-0.020982621721483574
11:30,midpoint,1.0,upper_quartile,1.338762351368445,6,0.6666666666666666,1.2474431558554762,0.0004181377451822907,-0.005251749537478534
11:30,midpoint,1.5,none,0.0,30,0.23333333333333334,0.26375407242370236,-0.0021380143562986665,-0.066135955209214
11:30,midpoint,1.5,median,0.9258669933704685,12,0.25,0.24309788283385378,-0.0025504985846302075,-0.026811850063495846
11:30,midpoint,1.5,upper_quartile,1.338762351368445,6,0.5,0.6196410626393719,-0.0010056572164674844,-0.005724812372072008
11:30,midpoint,2.0,none,0.0,30,0.23333333333333334,0.36649755357727415,-0.00183965340176602,-0.05909359401652803
11:30,midpoint,2.0,median,0.9258669933704685,12,0.25,0.34047021285380585,-0.002222387479818066,-0.02299585653027536
11:30,midpoint,2.0,upper_quartile,1.338762351368445,6,0.5,0.8678369471196639,-0.000349435006843201,-0.005724812372072008
11:30,opposite_boundary,1.0,none,0.0,30,0.4,0.5213221964362867,-0.0016897471176467887,-0.05618511644727042
11:30,opposite_boundary,1.0,median,0.9258669933704685,12,0.4166666666666667,0.41540503651207156,-0.002536563048698,-0.024359308573640215
11:30,opposite_boundary,1.0,upper_quartile,1.338762351368445,6,0.5,0.6681080310437018,-0.001166674532413166,-0.010870366158744704
11:30,opposite_boundary,1.5,none,0.0,30,0.3333333333333333,0.6157135881561812,-0.0014076944384107963,-0.05149620923451537
11:30,opposite_boundary,1.5,median,0.9258669933704685,12,0.4166666666666667,0.6120362182052154,-0.0016833785006669932,-0.019153104001025545
11:30,opposite_boundary,1.5,upper_quartile,1.338762351368445,6,0.5,1.0491512183146001,0.00017277753006513427,-0.010870366158744815
11:30,opposite_boundary,2.0,none,0.0,30,0.3333333333333333,0.5914486848131794,-0.0014965801456119179,-0.057702139601949476
11:30,opposite_boundary,2.0,median,0.9258669933704685,12,0.4166666666666667,0.5510667571228186,-0.001947925566139328,-0.019153104001025545
11:30,opposite_boundary,2.0,upper_quartile,1.338762351368445,6,0.5,0.7942567286002765,-0.0007232336344632492,-0.010870366158744704
13:30,midpoint,1.0,none,0.0,52,0.4423076923076923,0.5091492749021683,-0.0009551596668673387,-0.054431062258854856
13:30,midpoint,1.0,median,0.9258669933704685,22,0.5,0.6698003665689946,-0.0005958763630186853,-0.026538956481028553
13:30,midpoint,1.0,upper_quartile,1.338762351368445,9,0.6666666666666666,1.6672202770957143,0.0007702897023977747,-0.010113334646455585
13:30,midpoint,1.5,none,0.0,52,0.3269230769230769,0.3794765157208496,-0.0014621172903453647,-0.07798588160481246
13:30,midpoint,1.5,median,0.9258669933704685,22,0.4090909090909091,0.4224573505677106,-0.0012772370806997562,-0.030810903322736838
13:30,midpoint,1.5,upper_quartile,1.338762351368445,9,0.4444444444444444,0.6649752418723168,-0.0007200153541189676,-0.010113334646455696
13:30,midpoint,2.0,none,0.0,52,0.3269230769230769,0.5193827427898852,-0.00113246125184385,-0.06342164684223095
13:30,midpoint,2.0,median,0.9258669933704685,22,0.4090909090909091,0.5566864636567541,-0.0009803890458138628,-0.026538956481028442
13:30,midpoint,2.0,upper_quartile,1.338762351368445,9,0.4444444444444444,0.868536351877075,-0.0002825338810361121,-0.010113334646455696
13:30,opposite_boundary,1.0,none,0.0,52,0.46153846153846156,0.6761056589003303,-0.0009009799726879256,-0.053477979816142884
13:30,opposite_boundary,1.0,median,0.9258669933704685,22,0.5,0.5594023033087665,-0.0012919864896575794,-0.03131932999448206
13:30,opposite_boundary,1.0,upper_quartile,1.338762351368445,9,0.4444444444444444,0.629374985624181,-0.0011204091119693604,-0.016653654458247735
13:30,opposite_boundary,1.5,none,0.0,52,0.40384615384615385,0.7361801489419743,-0.0007571054315671422,-0.04972113356920527
13:30,opposite_boundary,1.5,median,0.9258669933704685,22,0.5,0.7398653216136151,-0.0007628058260190082,-0.027294741606613715
13:30,opposite_boundary,1.5,upper_quartile,1.338762351368445,9,0.4444444444444444,0.9247637768602381,-0.00022744107031716018,-0.016653654458247513
13:30,opposite_boundary,2.0,none,0.0,52,0.40384615384615385,0.7696585539761409,-0.0006610297109952376,-0.053879744835394594
13:30,opposite_boundary,2.0,median,0.9258669933704685,22,0.5,0.7333909517112277,-0.0007817909421595311,-0.027294741606613715
13:30,opposite_boundary,2.0,upper_quartile,1.338762351368445,9,0.4444444444444444,0.7271668174480839,-0.0008247818466694159,-0.016653654458247513
14:30,midpoint,1.0,none,0.0,57,0.42105263157894735,0.4661508831283947,-0.0010494932120709418,-0.06159214344877373
