trades,net_pct,avg_bps,win_rate_pct,profit_factor,max_dd_pct,strength_band,avg_strength,longs,shorts
12,1.42,12.12,50.0,1.371,-1.68,<40,35.91,6,6
16,0.66,4.39,43.75,1.144,-1.87,40-50,44.15,10,6
36,5.81,15.95,58.33,1.608,-2.62,50-60,55.46,25,11
34,-3.01,-8.75,38.24,0.766,-6.31,60-70,65.64,23,11
30,-0.36,-0.59,36.67,0.987,-5.27,70-80,74.38,17,13
29,21.57,68.21,68.97,4.223,-1.95,80+,89.41,20,9
