trades,net_pct,avg_bps,win_rate_pct,profit_factor,max_dd_pct,year,longs,shorts
8,1.57,20.11,50.0,1.54,-1.11,2022,7,1
26,-1.19,-4.29,38.46,0.888,-3.14,2023,21,5
43,0.85,2.52,39.53,1.059,-4.32,2024,30,13
41,17.98,40.72,68.29,3.452,-1.64,2025,25,16
20,7.64,37.37,55.0,2.481,-1.43,2026,9,11
