name,strength_atr,position_min,volume_quantile,target_r,volume_cutoff,Trades,WinRate,ProfitFactor,Expectancy,MaxDrawdown
opening_drive,0.15,0.7,0.25,1.5,0.6186224572028226,51,0.43137254901960786,0.8593826325436387,-0.0007607423477270307,-0.08034252290163613
opening_drive,0.15,0.7,0.25,2.0,0.6186224572028226,51,0.4117647058823529,0.8870152430212374,-0.0006276504554633242,-0.09686013475624056
opening_drive,0.15,0.7,0.5,1.5,0.986510608084909,29,0.4827586206896552,1.1129118985978397,0.0005760564849879302,-0.04331348881541586
opening_drive,0.15,0.7,0.5,2.0,0.986510608084909,29,0.4482758620689655,1.126618395675285,0.0006783081828741574,-0.060110986647582076
opening_drive,0.15,0.7,0.75,1.5,1.602919081014634,12,0.5833333333333334,2.4571877342000605,0.004627214208890553,-0.03541737269370582
opening_drive,0.15,0.7,0.75,2.0,1.602919081014634,12,0.5833333333333334,3.236981281964347,0.007103402897231992,-0.03541737269370582
opening_drive,0.15,0.8,0.25,1.5,0.6186224572028226,26,0.38461538461538464,0.58949279512306,-0.0024509457203052334,-0.09891851042208755
opening_drive,0.15,0.8,0.25,2.0,0.6186224572028226,26,0.38461538461538464,0.6224683418669437,-0.0022540642180892733,-0.09467999139961614
opening_drive,0.15,0.8,0.5,1.5,0.986510608084909,15,0.3333333333333333,0.5077459493392873,-0.0033789665937691876,-0.08752828034885196
opening_drive,0.15,0.8,0.5,2.0,0.986510608084909,15,0.3333333333333333,0.5693987387432068,-0.0029557649654048984,-0.08752828034885185
opening_drive,0.15,0.8,0.75,1.5,1.602919081014634,6,0.5,1.3627706558582076,0.0015928208190083744,-0.02616317329560225
opening_drive,0.15,0.8,0.75,2.0,1.602919081014634,6,0.5,1.8549864724031,0.003753997825409768,-0.02616317329560236
opening_drive,0.15,0.9,0.25,1.5,0.6186224572028226,12,0.4166666666666667,0.6744901424965606,-0.0018398716204885794,-0.050254529563295014
opening_drive,0.15,0.9,0.25,2.0,0.6186224572028226,12,0.4166666666666667,0.7215692495192896,-0.001573767504338584,-0.05589500552216908
opening_drive,0.15,0.9,0.5,1.5,0.986510608084909,5,0.4,0.8113743918861147,-0.0011887077225322784,-0.031182503623344404
opening_drive,0.15,0.9,0.5,2.0,0.986510608084909,5,0.4,1.1029900203632146,0.0006490371788521632,-0.031182503623344404
opening_drive,0.15,0.9,0.75,1.5,1.602919081014634,2,1.0,inf,0.012783086760383477,0.0
opening_drive,0.15,0.9,0.75,2.0,1.602919081014634,2,1.0,inf,0.01737744901384458,0.0
opening_drive,0.25,0.7,0.25,1.5,0.6186224572028226,24,0.3333333333333333,0.5861971272856596,-0.0022828491677438687,-0.0716667234236158
