opening_strength,Days,MedianFirst15,MedianRestOfDay,ContinueRate,MedianClosePosition
strong_down,156,-0.01754916953400454,-0.001271432247503701,0.5128205128205128,0.3722014925373133
moderate_down,285,-0.008427913248679642,-0.0007580456205636965,0.5263157894736842,0.42499999999999716
flat,512,-0.00017634850580122707,-0.0016318143491909076,0.50390625,0.4380593742745888
moderate_up,188,0.008296681543334294,-0.0021948324387275897,0.4521276595744681,0.5295140718878468
strong_up,120,0.01839075296140613,-0.0035808952790495896,0.39166666666666666,0.5376796633050107
