latest_signal,stop_mode,target_r,rvol_filter,rvol_cutoff,position_min,gap_alignment,Trades,WinRate,ProfitFactor,Expectancy,MaxDrawdown
10:00,midpoint,1.0,none,0.0,0.7,False,230,0.5217391304347826,0.8005076273341911,-0.0007934386077383474,-0.20639125426727023
10:00,midpoint,1.0,none,0.0,0.7,True,73,0.4520547945205479,0.6254698780813757,-0.0016993445903533977,-0.1391816144212502
10:00,midpoint,1.0,median,0.9865015709721467,0.7,False,99,0.5252525252525253,0.8111128846629667,-0.0007968391910399443,-0.13617651175830148
10:00,midpoint,1.0,median,0.9865015709721467,0.7,True,35,0.5142857142857142,0.7674455400412694,-0.0010061340438071197,-0.07350575392990288
10:00,midpoint,1.5,none,0.0,0.7,False,230,0.44782608695652176,0.8593998654274623,-0.0006503070855404487,-0.25221950544356464
10:00,midpoint,1.5,none,0.0,0.7,True,73,0.3561643835616438,0.5960147814038397,-0.00219514198957723,-0.19586186930160676
10:00,midpoint,1.5,median,0.9865015709721467,0.7,False,99,0.45454545454545453,0.8881647543170282,-0.0005473489396708212,-0.17852802661724165
10:00,midpoint,1.5,median,0.9865015709721467,0.7,True,35,0.4,0.7244828316907398,-0.0014818953320053403,-0.11544177702886083
10:00,opposite_boundary,1.0,none,0.0,0.7,False,62,0.5806451612903226,1.1557715323944981,0.0006455181544818135,-0.05490905557612635
10:00,opposite_boundary,1.0,none,0.0,0.7,True,21,0.47619047619047616,0.8774590724405418,-0.0005823156443292275,-0.05745133567820415
10:00,opposite_boundary,1.0,median,0.9865015709721467,0.7,False,13,0.6923076923076923,2.223728120094849,0.0033684147296357482,-0.016405529534404995
10:00,opposite_boundary,1.0,median,0.9865015709721467,0.7,True,5,0.4,0.719829765728956,-0.001364375368021808,-0.01197328244274809
10:00,opposite_boundary,1.5,none,0.0,0.7,False,62,0.532258064516129,1.2407778458314642,0.0011190346532046454,-0.08433279227063706
10:00,opposite_boundary,1.5,none,0.0,0.7,True,21,0.47619047619047616,1.144759290159677,0.000687897513106981,-0.05277978004826034
10:00,opposite_boundary,1.5,median,0.9865015709721467,0.7,False,13,0.6923076923076923,3.461348130468277,0.00677506805742778,-0.01248446665946279
10:00,opposite_boundary,1.5,median,0.9865015709721467,0.7,True,5,0.4,1.1208140259565498,0.0005883411617780834,-0.01197328244274809
11:30,midpoint,1.0,none,0.0,0.7,False,266,0.5112781954887218,0.7684112082270834,-0.0009375271133307784,-0.24301368757088238
11:30,midpoint,1.0,none,0.0,0.7,True,88,0.4431818181818182,0.5768832079502901,-0.0019592592517875943,-0.17582968604714777
11:30,midpoint,1.0,median,0.9865015709721467,0.7,False,115,0.5130434782608696,0.743548010613401,-0.001143801583488441,-0.17187876629895715
11:30,midpoint,1.0,median,0.9865015709721467,0.7,True,44,0.4772727272727273,0.6100658401159449,-0.0019262560487625041,-0.11247030188046403
11:30,midpoint,1.5,none,0.0,0.7,False,266,0.43609022556390975,0.8364860526690879,-0.0007580912535788084,-0.26191690886041585
11:30,midpoint,1.5,none,0.0,0.7,True,88,0.3522727272727273,0.5832629218458409,-0.0022576499067638134,-0.22005331278119244
11:30,midpoint,1.5,median,0.9865015709721467,0.7,False,115,0.4434782608695652,0.8430617821813954,-0.0007964370720223065,-0.19971974365554968
11:30,midpoint,1.5,median,0.9865015709721467,0.7,True,44,0.36363636363636365,0.6173175759661567,-0.0022438239535246263,-0.14392011623438983
11:30,opposite_boundary,1.0,none,0.0,0.7,False,69,0.5942028985507246,1.276248302678645,0.0010648068289388342,-0.05327236573256311
11:30,opposite_boundary,1.0,none,0.0,0.7,True,24,0.5416666666666666,1.1066497428171254,0.0004434505113931943,-0.05745133567820471
11:30,opposite_boundary,1.0,median,0.9865015709721467,0.7,False,15,0.7333333333333333,2.642308986328166,0.0039178479795287805,-0.011973282442748201
11:30,opposite_boundary,1.0,median,0.9865015709721467,0.7,True,6,0.5,0.940055079673012,-0.00024326689850121867,-0.01197328244274809
11:30,opposite_boundary,1.5,none,0.0,0.7,False,69,0.5362318840579711,1.2919478946774283,0.0012885750480888755,-0.07620145380690702
11:30,opposite_boundary,1.5,none,0.0,0.7,True,24,0.5,1.2294042845002944,0.0010242373066257453,-0.05277978004826034
11:30,opposite_boundary,1.5,median,0.9865015709721467,0.7,False,15,0.6666666666666666,3.078675523474489,0.005979084327942785,-0.01613691624068936
11:30,opposite_boundary,1.5,median,0.9865015709721467,0.7,True,6,0.3333333333333333,0.8605996225778275,-0.0007367616067018855,-0.01197328244274809
