preclose_strength,Days,MedianTo1430,MedianFinalHour,MedianFinal30,MedianNextGap,FinalHourContinueRate
strong_down,239,-0.025357142857142856,0.000296313855635999,-0.00012046741356463997,0.001829587036069169,0.4686192468619247
moderate_down,273,-0.011704545454545356,-0.0005948839976204212,-0.000887025239899919,0.0032291666666666163,0.5238095238095238
flat,394,-0.0001665076261850862,0.0,-0.001096437166708708,0.0028169014084507005,0.467005076142132
moderate_up,180,0.012527822166419345,5.330490405119903e-05,-0.0003528525871804855,0.003900122786672955,0.5
strong_up,175,0.02719174871073604,0.0,-0.00020130175132515582,0.0057636887608070175,0.49142857142857144
