latest_signal,stop_mode,target_r,rvol_filter,rvol_cutoff,Trades,WinRate,ProfitFactor,Expectancy,MaxDrawdown
11:30,midpoint,1.0,none,0.0,71,0.4225352112676056,0.519339116907458,-0.0020650501848731607,-0.14438080880516446
11:30,midpoint,1.0,median,0.9865015709721467,25,0.44,0.5922090183854494,-0.0018003013319399705,-0.06292688663105428
11:30,midpoint,1.0,upper_quartile,1.601467578179715,9,0.2222222222222222,0.23534115985059628,-0.005148911234335387,-0.05388113687301899
11:30,midpoint,1.5,none,0.0,71,0.323943661971831,0.4348849749005336,-0.0028848289007643736,-0.19049916606989148
11:30,midpoint,1.5,median,0.9865015709721467,25,0.36,0.4738823032864223,-0.0027840269042594735,-0.06675110672995088
11:30,midpoint,1.5,upper_quartile,1.601467578179715,9,0.1111111111111111,0.12293701673430826,-0.006953190449682419,-0.05081634089780518
11:30,midpoint,2.0,none,0.0,71,0.2676056338028169,0.45225002516018037,-0.002964904021856728,-0.20013552203218932
11:30,midpoint,2.0,median,0.9865015709721467,25,0.28,0.48549565072201206,-0.0029166593743115187,-0.0762832945575036
11:30,midpoint,2.0,upper_quartile,1.601467578179715,9,0.1111111111111111,0.1685878077942128,-0.006591279560185879,-0.04775154492259159
11:30,opposite_boundary,1.0,none,0.0,35,0.3142857142857143,0.48216355973687686,-0.0028662417272552,-0.09545133240096859
11:30,opposite_boundary,1.0,median,0.9865015709721467,9,0.3333333333333333,0.6071445105582984,-0.0018364349427565127,-0.02478004062647754
11:30,opposite_boundary,1.0,upper_quartile,1.601467578179715,2,0.0,0.0,-0.007107452229865974,-0.00995077076081563
11:30,opposite_boundary,1.5,none,0.0,35,0.22857142857142856,0.46277917941636,-0.0032497132757017947,-0.11729391413311496
11:30,opposite_boundary,1.5,median,0.9865015709721467,9,0.2222222222222222,0.5309027444747508,-0.0025192233373473685,-0.027506859724607313
11:30,opposite_boundary,1.5,upper_quartile,1.601467578179715,2,0.0,0.0,-0.007107452229865974,-0.00995077076081563
11:30,opposite_boundary,2.0,none,0.0,35,0.22857142857142856,0.5508740899944404,-0.0027168165794860177,-0.10542361840211079
11:30,opposite_boundary,2.0,median,0.9865015709721467,9,0.2222222222222222,0.721663444003384,-0.0014947688123189756,-0.0241268025837722
11:30,opposite_boundary,2.0,upper_quartile,1.601467578179715,2,0.0,0.0,-0.007107452229865974,-0.00995077076081563
13:30,midpoint,1.0,none,0.0,117,0.4700854700854701,0.6695361989139627,-0.0013129976563405806,-0.16341472069460306
13:30,midpoint,1.0,median,0.9865015709721467,45,0.4888888888888889,0.7904604937229791,-0.0008552852225181328,-0.04830679562094642
13:30,midpoint,1.0,upper_quartile,1.601467578179715,16,0.4375,0.71793124082092,-0.0014570650367649457,-0.04284342703080202
13:30,midpoint,1.5,none,0.0,117,0.38461538461538464,0.6345535526494203,-0.0016988758686474104,-0.20274854730575964
13:30,midpoint,1.5,median,0.9865015709721467,45,0.4222222222222222,0.7418318407171974,-0.0012239301370838272,-0.06115619976214981
