Date,Open,High,Low,Close,Volume,Bars,r5,r15,r30,r60,r_after15,r_mid,r_to1430,r_close60,r_close30,r_close15,opening15_volume_share,opening15_volume,opening30_volume_share,closing60_volume_share,closing30_volume_share,closing15_volume_share,opening15_close_position,day_close_position,position_1430,vwap_0929,vwap_1429,vwap_close,opening_range_pct,opening_range_share,or_high,or_low,break_type,first_high_break,first_low_break,close_above_or,close_below_or,PrevClose,gap,daily_return,atr20_pct,r15_atr,r_to1430_atr,ema20,ema50,trend_regime,prior_trend_regime,next_gap,opening15_rvol20,nifty_gap,nifty_r15,nifty_r_to1430,nifty_r_close60,nifty_daily_return,r15_relative_nifty,close60_relative_nifty,day_range,nasdaq_close,nasdaq_return,dow_close,dow_return,vix_close,vix_return,us_context,vix_regime,nifty_gap_proxy,combined_proxy
2021-06-03,85.95,87.2,84.8,85.3,1363276.0,375,0.0127981384525885,0.0075625363583478,0.0029086678301337,-0.0011634671320536,-0.0150115473441108,-0.0052417006406522,-0.0063990692262942,-0.0011709601873537,0.0011737089201877,0.0011737089201877,0.1600959746962464,218255,0.2317014309648229,0.2242986746630909,0.1395887553217397,0.0715570434746889,0.5199999999999931,0.2083333333333328,0.2500000000000029,86.76298137499715,85.8726638896638,85.7303381217988,0.014543339150669,0.5208333333333321,87.2,85.95,low_only,,10:10,False,True,,,,,,,85.3,85.3,mixed,,0.0123094958968346,,,,,,,,,0.028301886792452935,13756.330078125,0.0014450287626555092,34600.37890625,0.0007250929498436864,17.209999084472656,-0.010350794220437276,both_green,above_15,,mixed_or_conflict
2021-06-04,86.35,86.35,84.2,84.65,1642568.0,375,-0.0028951939779965,-0.0017371163867978,-0.0052113491603935,-0.00810654313839,-0.0179814385150811,-0.0140105078809107,-0.0220034742327734,0.0023682652457075,0.0023682652457075,0.0017751479289942,0.0655662353095884,107697,0.1142199287944243,0.2958580710204996,0.2377064450299774,0.1953179411750381,0.8421052631579018,0.2093023255813975,0.1162790697674423,86.07727002609172,85.20358912307123,85.00371085600922,0.0111241217798594,0.4418604651162755,86.35,85.4,low_only,,11:30,False,True,85.3,0.0123094958968346,-0.0076201641266118,,,,85.23809523809523,85.27450980392156,downtrend,mixed,0.0159480212640283,,,,,,,,,0.02553444180522546,13614.509765625,-0.010309458387126047,34577.0390625,-0.0006745545710131751,15.75,-0.08483434992102401,both_red,above_15,,mixed_or_conflict
2021-06-07,86.0,86.5,84.05,85.0,1924652.0,375,-0.0127906976744185,-0.0081395348837209,-0.0069767441860464,0.0005813953488371,-0.0035169988276669,-0.0139453805926786,-0.0133720930232559,0.0017678255745434,0.0005885815185402,0.0005885815185402,0.1339530470963062,257813,0.1883343066694654,0.1959195740320847,0.1132719057782913,0.0720312035630337,0.6410256410256401,0.387755102040817,0.3265306122448964,84.96852363276226,85.27251604391817,85.20902243626375,0.0232004759071982,0.795918367346939,86.0,84.05,high_only,10:05,,False,False,84.65,0.0159480212640283,0.0041346721795627,,,,85.21541950113377,85.2637447135717,downtrend,downtrend,0.0082352941176471,,,,,,,,,0.02914931588340286,13814.490234375,0.014688774858050868,34756.390625,0.00518701332915783,15.9399995803833,0.01206346542116199,both_green,above_15,,mixed_or_conflict
2021-06-08,85.7,86.1,82.85,83.3,1844380.0,375,-0.0105017502917154,-0.0087514585764294,-0.0116686114352392,-0.0175029171528587,-0.0194231901118305,-0.0112826603325415,-0.0285880980163361,0.0006006006006005,-0.0023952095808383,0.0024067388688326,0.0723077673798241,133363,0.1275355403983994,0.2555530855897375,0.174535616304666,0.0985821793773517,0.2812500000000028,0.1384615384615393,0.1230769230769248,85.00096291075236,84.0188890296954,83.81457516889148,0.0189349112426033,0.4923076923076905,86.1,84.5,low_only,,09:51,False,True,85.0,0.0082352941176471,-0.02,,,,85.0329985962639,85.18673511696105,downtrend,downtrend,-0.0024009603841537,,,,,,,,,0.03922751961375992,13881.7197265625,0.004866592327830599,34630.23828125,-0.003629615776595041,15.569999694824219,-0.02321203860095611,mixed,above_15,,mixed_or_conflict
2021-06-09,83.1,84.5,79.0,80.0,2281129.0,375,-0.0132370637785799,-0.0132370637785799,-0.0264741275571599,-0.0192539109506617,-0.024390243902439,-0.0122699386503067,-0.0312876052948254,-0.0062111801242236,0.0037641154328731,0.0075566750629723,0.084894365903901,193655,0.1646781045701492,0.2308904932601356,0.1257451902106369,0.0477811645023144,0.4444444444444444,0.1818181818181818,0.1111111111111111,81.49868813095452,80.83891727721358,80.5726600220038,0.0562499999999999,0.8181818181818182,84.5,80.0,low_only,,14:40,False,False,83.3,-0.0024009603841537,-0.0396158463385354,,,,84.55366539661972,84.98333373982533,downtrend,downtrend,-0.00875,,,,,,,,,0.06962025316455689,13924.91015625,0.0031113169361038917,34599.8203125,-0.0008783644080921915,15.229999542236328,-0.02183687599563111,mixed,above_15,,mixed_or_conflict
2021-06-10,79.3,83.25,77.7,81.2,1528826.0,375,-0.0037831021437578,0.049810844892812,0.0403530895334174,0.0365699873896596,-0.0246246246246245,-0.0182481751824817,0.0176544766708701,0.0061957868649318,0.0030883261272389,0.0024691358024691,0.1405379029399029,214858,0.2350653377166531,0.171369403712391,0.1282193002997071,0.0603162164955331,1.0,0.630630630630631,0.5405405405405408,81.29569436558099,81.12636003300625,81.10084603043994,0.0714285714285714,1.0,83.25,77.7,neither,,,False,False,80.0,-0.00875,0.0150000000000001,,,,84.23426869217975,84.83496771081258,downtrend,downtrend,0.0197044334975369,,,,,,,,,0.0714285714285714,13911.75,-0.0009450801550839882,34447.140625,-0.004412730647761265,14.75,-0.031516714160442216,both_red,at_or_below_15,,mixed_or_conflict
2021-06-11,82.8,83.5,80.5,82.0,1632161.0,375,0.002415458937198,-0.0006038647342995,-0.0078502415458936,0.002415458937198,-0.0090634441087613,-0.0132530120481927,-0.0108695652173912,0.0012210012210012,0.0024449877750611,0.003058103975535,0.0713808257886323,116505,0.1010163825750033,0.1145389456064689,0.0690648777908552,0.0602869447315552,0.757575757575755,0.5,0.4666666666666685,82.59586255239401,81.94695257568367,81.94022262509644,0.0202453987730062,0.5500000000000019,83.15,81.5,high_then_low,10:13,10:45,False,False,81.2,0.0197044334975369,0.0098522167487684,,,,84.02148119768644,84.72379250646699,downtrend,downtrend,0.048170731707317,,,,,,,,,0.037267080745341685,14020.330078125,0.007804918728772536,34466.23828125,0.0005544046879797371,15.0,0.016949152542372836,both_green,at_or_below_15,,mixed_or_conflict
2021-06-14,85.95,85.95,83.0,85.95,4378425.0,375,0.0,0.0,-0.0040721349621873,-0.0063990692262942,0.0,0.0064402810304449,0.0,0.0,0.0,0.0,0.2172317671308747,951133,0.4778599610590566,0.0048309609048915,0.0024565911258043,0.0008863917961367,0.0,1.0,1.0,85.94999999999997,85.71733534177599,85.7184593356438,0.0,3.389830508474573e-13,85.95,85.95,low_only,,09:36,False,False,82.0,0.048170731707317,0.048170731707317,,,,84.20514965504964,84.77187907484084,mixed,downtrend,0.0354857475276322,,,,,,,,,0.03554216867469884,14069.419921875,0.003501332955533787,34479.6015625,0.00038772090939986903,14.100000381469727,-0.05999997456868489,both_green,at_or_below_15,,mixed_or_conflict
2021-06-15,89.0,89.8,84.05,84.95,1971915.0,375,-0.0117977528089887,-0.0162921348314607,0.0,-0.0089887640449437,-0.0296973158195316,-0.0368480725623582,-0.045505617977528,0.0,0.0005889281507656,0.0053254437869822,0.1973670264691936,389191,0.3044542995007391,0.1016833889898905,0.0730239386586135,0.0356993075259329,0.0217391304347814,0.1565217391304357,0.1565217391304357,88.46434616936158,87.22950421435957,86.96801252420451,0.0262857142857142,0.3999999999999995,89.8,87.5,low_only,,11:06,False,True,85.95,0.0354857475276322,-0.0116346713205351,,,,84.27608778314016,84.7788642091608,mixed,mixed,0.0052972336668628,,,,,,,,,0.06841165972635332,14174.1396484375,0.007443073498693664,34393.75,-0.002489923276647543,14.720000267028809,0.043971621899662416,mixed,at_or_below_15,,mixed_or_conflict
2021-06-16,85.4,85.4,80.9,81.5,1978634.0,375,-0.0187353629976582,-0.0193208430913349,-0.0175644028103044,-0.0333723653395785,-0.0268656716417911,-0.0115081768625076,-0.0444964871194381,-0.0012254901960783,-0.0115221346270467,0.0061728395061728,0.0447162031987724,88477,0.0714361524162629,0.2172392670903259,0.1621497457336728,0.0624476280100311,0.2499999999999984,0.133333333333332,0.146067415730335,84.08990792333978,81.96532506627189,81.85761400710457,0.0264423076923077,0.4888888888888895,85.4,83.2,low_only,,09:54,False,True,84.95,0.0052972336668628,-0.040612124779282,,,,84.01169847046013,84.65028129899764,downtrend,mixed,-0.0527607361963189,,,,,,,,,0.05562422744128548,14072.8603515625,-0.0071453576292487275,34299.328125,-0.002745320734145018,14.609999656677246,-0.0074728674154953545,both_red,at_or_below_15,,mixed_or_conflict
