Date,Close,Return
2021-06-01,34575.30859375,
2021-06-02,34600.37890625,0.0007250929498436864
2021-06-03,34577.0390625,-0.0006745545710131751
2021-06-04,34756.390625,0.00518701332915783
2021-06-07,34630.23828125,-0.003629615776595041
2021-06-08,34599.8203125,-0.0008783644080921915
2021-06-09,34447.140625,-0.004412730647761265
2021-06-10,34466.23828125,0.0005544046879797371
2021-06-11,34479.6015625,0.00038772090939986903
2021-06-14,34393.75,-0.002489923276647543
2021-06-15,34299.328125,-0.002745320734145018
2021-06-16,34033.671875,-0.007745231890019744
2021-06-17,33823.44921875,-0.006176902011105767
2021-06-18,33290.078125,-0.015769269724695167
2021-06-21,33876.96875,0.017629595905311435
2021-06-22,33945.578125,0.002025251299970554
2021-06-23,33874.23828125,-0.002101594602021528
2021-06-24,34196.8203125,0.009522930923838713
2021-06-25,34433.83984375,0.006931040052380544
2021-06-28,34283.26953125,-0.004372742429634369
2021-06-29,34292.2890625,0.00026308842106725905
2021-06-30,34502.51171875,0.006130318564236292
2021-07-01,34633.53125,0.003797391109320314
2021-07-02,34786.3515625,0.0044124958381193125
2021-07-06,34577.37109375,-0.006007542020453838
2021-07-07,34681.7890625,0.003019835385023706
2021-07-08,34421.9296875,-0.007492675032758744
2021-07-09,34870.16015625,0.013021654300594543
2021-07-12,34996.1796875,0.003613964796413738
2021-07-13,34888.7890625,-0.003068638518802569
2021-07-14,34933.23046875,0.0012738019129980849
2021-07-15,34987.01953125,0.0015397677734991788
2021-07-16,34687.8515625,-0.00855082749997571
2021-07-19,33962.0390625,-0.020924112255619076
2021-07-20,34511.98828125,0.016193056539919093
2021-07-21,34798.0,0.008287315017007746
2021-07-22,34823.3515625,0.0007285350451176065
2021-07-23,35061.55078125,0.006840215202218225
2021-07-26,35144.30859375,0.002360358017713615
2021-07-27,35058.51953125,-0.002441051366002922
2021-07-28,34930.9296875,-0.0036393391807737485
2021-07-29,35084.53125,0.0043972938560226105
2021-07-30,34935.46875,-0.004248667281253726
2021-08-02,34838.16015625,-0.0027853810820843705
2021-08-03,35116.3984375,0.007986595158931964
2021-08-04,34792.671875,-0.009218672099195135
2021-08-05,35064.25,0.007805612801905504
2021-08-06,35208.51171875,0.00411421087717545
2021-08-09,35101.8515625,-0.003029385538986018
2021-08-10,35264.671875,0.004638510655487593
2021-08-11,35484.96875,0.006246956608042975
2021-08-12,35499.8515625,0.0004194117403584219
2021-08-13,35515.37890625,0.00043739179367174863
2021-08-16,35625.3984375,0.0030977997317842565
2021-08-17,35343.28125,-0.007918990379712887
2021-08-18,34960.69140625,-0.01082496673253841
2021-08-19,34894.12109375,-0.001904147481708529
2021-08-20,35120.078125,0.006475504301796997
2021-08-23,35335.7109375,0.006139872802461088
2021-08-24,35366.26171875,0.0008645865737366698
2021-08-25,35405.5,0.0011094834269462783
2021-08-26,35213.12109375,-0.005433588178390347
2021-08-27,35455.80078125,0.006891740350248865
2021-08-30,35399.83984375,-0.001578329533304279
2021-08-31,35360.73046875,-0.0011047896027954751
2021-09-01,35312.53125,-0.001363071919359693
2021-09-02,35443.8203125,0.0037179170637902104
2021-09-03,35369.08984375,-0.0021084202574981337
2021-09-07,35100.0,-0.007608051124265769
2021-09-08,35031.0703125,-0.001963808760683805
2021-09-09,34879.37890625,-0.00433019616291519
2021-09-10,34607.71875,-0.007788560598518068
2021-09-13,34869.62890625,0.007567969392666241
2021-09-14,34577.5703125,-0.008375729909120166
2021-09-15,34814.390625,0.006848957586079729
2021-09-16,34751.3203125,-0.0018116161554960764
2021-09-17,34584.87890625,-0.004789498780284673
2021-09-20,33970.46875,-0.017765282854264042
2021-09-21,33919.83984375,-0.0014903799715745292
2021-09-22,34258.3203125,0.009978834520127267
2021-09-23,34764.8203125,0.01478472953080523
2021-09-24,34798.0,0.0009544041131739345
2021-09-27,34869.37109375,0.002051011372780076
2021-09-28,34299.98828125,-0.01632902443147466
2021-09-29,34390.71875,0.0026452040742999117
2021-09-30,33843.921875,-0.015899547752255105
2021-10-01,34326.4609375,0.0142577761608782
2021-10-04,34002.921875,-0.009425354483501347
2021-10-05,34314.671875,0.009168329743721504
2021-10-06,34416.98828125,0.0029817101740827745
2021-10-07,34754.94140625,0.009819369499687314
2021-10-08,34746.25,-0.00025007684945876907
2021-10-11,34496.05859375,-0.007200529733424443
2021-10-12,34378.33984375,-0.003412527540793575
2021-10-13,34377.80859375,-1.5453044050817155e-05
2021-10-14,34912.55859375,0.015555092714583996
2021-10-15,35294.76171875,0.010947439557421168
2021-10-18,35258.609375,-0.0010242977141504683
2021-10-19,35457.30859375,0.00563548087324417
2021-10-20,35609.33984375,0.0042877267347583015
2021-10-21,35603.078125,-0.00017584484232158193
2021-10-22,35677.01953125,0.0020768262224517553
2021-10-25,35741.1484375,0.0017974849663051629
2021-10-26,35756.87890625,0.00044012208442345546
2021-10-27,35490.69140625,-0.007444371772433178
2021-10-28,35730.48046875,0.006756393099114799
2021-10-29,35819.55859375,0.0024930570155055065
2021-11-01,35913.83984375,0.002632116466573464
2021-11-02,36052.62890625,0.003864500791445069
2021-11-03,36157.578125,0.0029110004439039106
2021-11-04,36124.23046875,-0.0009222867785755318
2021-11-05,36327.94921875,0.005639393486215116
2021-11-08,36432.21875,0.0028702289419679783
2021-11-09,36319.98046875,-0.0030807424060605992
2021-11-10,36079.94140625,-0.006609008578805087
2021-11-11,35921.23046875,-0.004398869047844589
2021-11-12,36100.30859375,0.004985300410457638
2021-11-15,36087.44921875,-0.0003562123289502228
2021-11-16,36142.21875,0.0015176891810226856
2021-11-17,35931.05078125,-0.005842695220530714
2021-11-18,35870.94921875,-0.001672691479742694
2021-11-19,35601.98046875,-0.007498233413332889
2021-11-22,35619.25,0.0004850722072935465
2021-11-23,35813.80078125,0.005461956140289326
2021-11-24,35804.37890625,-0.00026307944966663666
2021-11-26,34899.33984375,-0.025277328923083653
2021-11-29,35135.94140625,0.0067795426377490475
2021-11-30,34483.71875,-0.01856283424169136
2021-12-01,34022.0390625,-0.013388338155959523
2021-12-02,34639.7890625,0.018157347913955624
2021-12-03,34580.078125,-0.0017237673529785225
2021-12-06,35227.03125,0.01870883931092915
2021-12-07,35719.4296875,0.013977857912735647
2021-12-08,35754.75,0.000988826328107928
2021-12-09,35754.69140625,-1.6387682755247823e-06
2021-12-10,35970.98828125,0.006049468377237632
2021-12-13,35650.94921875,-0.008897143998315538
2021-12-14,35544.1796875,-0.002994858021728275
2021-12-15,35927.4296875,0.01078235602479749
2021-12-16,35897.640625,-0.0008291453844349039
2021-12-17,35365.44140625,-0.014825465113697867
2021-12-20,34932.16015625,-0.012251543675726007
2021-12-21,35492.69921875,0.016046504424368058
2021-12-22,35753.890625,0.007359017826179315
2021-12-23,35950.55859375,0.005500603299728235
2021-12-27,36302.37890625,0.009786226591793845
2021-12-28,36398.2109375,0.002639827860799082
2021-12-29,36488.62890625,0.0024841322257640464
2021-12-30,36398.078125,-0.0024816164367987836
2021-12-31,36338.30078125,-0.0016423214309477796
2022-01-03,36585.05859375,0.0067905710282227805
2022-01-04,36799.6484375,0.005865504990243631
2022-01-05,36407.109375,-0.010666924255178234
2022-01-06,36236.46875,-0.004687013825853903
2022-01-07,36231.66015625,-0.00013270039592361282
2022-01-10,36068.87109375,-0.004493005890372381
2022-01-11,36252.01953125,0.005077742439566935
2022-01-12,36290.3203125,0.001056514416168941
2022-01-13,36113.62109375,-0.004869045443204212
2022-01-14,35911.80859375,-0.005588265421407113
2022-01-18,35368.46875,-0.015129837928701817
2022-01-19,35028.6484375,-0.009608001830726742
2022-01-20,34715.390625,-0.008942903208467579
2022-01-21,34265.37109375,-0.012963112992481318
2022-01-24,34364.5,0.0028929762931440006
2022-01-25,34297.73046875,-0.0019429798556650502
2022-01-26,34168.08984375,-0.0037798601606634508
2022-01-27,34160.78125,-0.0002139011511448352
2022-01-28,34725.46875,0.0165302864670287
2022-01-31,35131.859375,0.011702955773635226
2022-02-01,35405.23828125,0.007781509749652971
2022-02-02,35629.328125,0.0063292850049443405
2022-02-03,35111.16015625,-0.014543298906229407
2022-02-04,35089.73828125,-0.0006101158407945118
2022-02-07,35091.12890625,3.9630532118861694e-05
2022-02-08,35462.78125,0.010591062622776093
