Date,Direction,BreakType,SignalTime,Opening15Return,Opening15RVOL,Gap,NiftyDayReturn,EntryTime,EntryPrice,Stop,Target,ExitTime,ExitPrice,ExitReason,GrossReturn,NetReturn
2025-03-27,1,low_then_high,11:38,-0.008411949685534603,0.7173080744012594,0.003154574132492094,0.005828002540028798,11:39,640.35,634.1,646.6,14:05,634.1,stop,-0.009760287342859386,-0.010760287342859387
2025-05-09,1,low_then_high,14:12,0.004285714285714226,1.8972540374754396,-0.010806317539484578,-0.004779726837265574,14:13,605.25,598.45,612.05,14:49,612.05,target,0.011235026848409602,0.0102350268484096
2025-08-04,-1,high_then_low,10:48,0.002366231585375189,0.6610309046369741,0.004215851602023646,0.006297780210522852,10:49,647.6,653.5,641.7,11:33,653.5,stop,-0.0091105620753551,-0.0101105620753551
2026-01-21,1,low_then_high,12:43,-0.019180470793374038,4.632704572705599,0.0018342213293736087,-0.0022695423452995245,12:44,573.0,567.425,578.575,13:50,567.425,stop,-0.00972949389179767,-0.01072949389179767
2026-02-01,-1,high_then_low,12:27,0.011357857263943227,2.0543186680350223,0.0071709066074781,-0.021638660441305357,12:28,584.65,591.575,577.7249999999999,12:28,577.7249999999999,target,0.011844693406311557,0.010844693406311556
2026-04-02,1,low_then_high,13:41,-0.013726221559119844,0.7761371081509708,-0.013612950699043447,-0.00010791454049330351,13:42,673.55,665.5,681.5999999999999,15:06,681.5999999999999,target,0.011951599732759277,0.010951599732759276
