Symbol,SpecId,Family,Parameters,Trades,WinRate,ProfitFactor,Expectancy,MaxDrawdown,DevelopmentScore
SBIN,53,opening_drive,"{""position"": 0.9, ""rvol_cutoff"": 1.4898892865617608, ""rvol_name"": ""upper_quartile"", ""strength"": 0.35, ""target_r"": 2.0}",0,,,,,-inf
SBIN,54,opening_drive,"{""position"": 0.7, ""rvol_cutoff"": 0.0, ""rvol_name"": ""none"", ""strength"": 0.5, ""target_r"": 1.5}",2,0.0,0.0,-0.002413992594209046,-0.0019702850212249823,-inf
SBIN,55,opening_drive,"{""position"": 0.7, ""rvol_cutoff"": 0.0, ""rvol_name"": ""none"", ""strength"": 0.5, ""target_r"": 2.0}",2,0.0,0.0,-0.002413992594209046,-0.0019702850212249823,-inf
SBIN,56,opening_drive,"{""position"": 0.7, ""rvol_cutoff"": 0.9639441482573803, ""rvol_name"": ""median"", ""strength"": 0.5, ""target_r"": 1.5}",1,0.0,0.0,-0.0019702850212249814,0.0,-inf
SBIN,57,opening_drive,"{""position"": 0.7, ""rvol_cutoff"": 0.9639441482573803, ""rvol_name"": ""median"", ""strength"": 0.5, ""target_r"": 2.0}",1,0.0,0.0,-0.0019702850212249814,0.0,-inf
SBIN,58,opening_drive,"{""position"": 0.7, ""rvol_cutoff"": 1.4898892865617608, ""rvol_name"": ""upper_quartile"", ""strength"": 0.5, ""target_r"": 1.5}",0,,,,,-inf
SBIN,59,opening_drive,"{""position"": 0.7, ""rvol_cutoff"": 1.4898892865617608, ""rvol_name"": ""upper_quartile"", ""strength"": 0.5, ""target_r"": 2.0}",0,,,,,-inf
SBIN,60,opening_drive,"{""position"": 0.8, ""rvol_cutoff"": 0.0, ""rvol_name"": ""none"", ""strength"": 0.5, ""target_r"": 1.5}",2,0.0,0.0,-0.002413992594209046,-0.0019702850212249823,-inf
SBIN,61,opening_drive,"{""position"": 0.8, ""rvol_cutoff"": 0.0, ""rvol_name"": ""none"", ""strength"": 0.5, ""target_r"": 2.0}",2,0.0,0.0,-0.002413992594209046,-0.0019702850212249823,-inf
SBIN,62,opening_drive,"{""position"": 0.8, ""rvol_cutoff"": 0.9639441482573803, ""rvol_name"": ""median"", ""strength"": 0.5, ""target_r"": 1.5}",1,0.0,0.0,-0.0019702850212249814,0.0,-inf
SBIN,63,opening_drive,"{""position"": 0.8, ""rvol_cutoff"": 0.9639441482573803, ""rvol_name"": ""median"", ""strength"": 0.5, ""target_r"": 2.0}",1,0.0,0.0,-0.0019702850212249814,0.0,-inf
SBIN,64,opening_drive,"{""position"": 0.8, ""rvol_cutoff"": 1.4898892865617608, ""rvol_name"": ""upper_quartile"", ""strength"": 0.5, ""target_r"": 1.5}",0,,,,,-inf
SBIN,65,opening_drive,"{""position"": 0.8, ""rvol_cutoff"": 1.4898892865617608, ""rvol_name"": ""upper_quartile"", ""strength"": 0.5, ""target_r"": 2.0}",0,,,,,-inf
SBIN,66,opening_drive,"{""position"": 0.9, ""rvol_cutoff"": 0.0, ""rvol_name"": ""none"", ""strength"": 0.5, ""target_r"": 1.5}",2,0.0,0.0,-0.002413992594209046,-0.0019702850212249823,-inf
SBIN,67,opening_drive,"{""position"": 0.9, ""rvol_cutoff"": 0.0, ""rvol_name"": ""none"", ""strength"": 0.5, ""target_r"": 2.0}",2,0.0,0.0,-0.002413992594209046,-0.0019702850212249823,-inf
SBIN,68,opening_drive,"{""position"": 0.9, ""rvol_cutoff"": 0.9639441482573803, ""rvol_name"": ""median"", ""strength"": 0.5, ""target_r"": 1.5}",1,0.0,0.0,-0.0019702850212249814,0.0,-inf
SBIN,69,opening_drive,"{""position"": 0.9, ""rvol_cutoff"": 0.9639441482573803, ""rvol_name"": ""median"", ""strength"": 0.5, ""target_r"": 2.0}",1,0.0,0.0,-0.0019702850212249814,0.0,-inf
SBIN,70,opening_drive,"{""position"": 0.9, ""rvol_cutoff"": 1.4898892865617608, ""rvol_name"": ""upper_quartile"", ""strength"": 0.5, ""target_r"": 1.5}",0,,,,,-inf
SBIN,71,opening_drive,"{""position"": 0.9, ""rvol_cutoff"": 1.4898892865617608, ""rvol_name"": ""upper_quartile"", ""strength"": 0.5, ""target_r"": 2.0}",0,,,,,-inf
