Symbol,Date,Direction,SignalTime,Opening15Return,Opening15RVOL,Gap,NiftyDayReturn,EntryTime,EntryPrice,Stop,Target,ExitTime,ExitPrice,ExitReason,GrossReturn,NetReturn,Sample
M&M,2024-09-16,1,09:44,0.0018794248594993235,0.309150219811056,0.0010960105217010518,0.001327754004470716,09:45,2752.1,2741.025,2768.7124999999996,10:07,2768.7124999999996,target,0.006036299553068503,0.005036299553068503,Development
M&M,2024-10-14,1,09:45,-0.0018724214535068562,0.8674308986979411,0.004510894687345557,0.006696683289923344,09:46,3156.05,3134.5,3188.3750000000005,15:14,3154.75,time,-0.0004119072891748399,-0.00141190728917484,Development
M&M,2024-10-21,-1,09:32,-0.010963763831404627,0.5748551528685741,-0.0017706576728498957,-0.004955224000659619,09:33,2927.95,2945.425,2901.7374999999993,09:49,2901.7374999999993,target,0.00895250943492909,0.00795250943492909,Development
M&M,2024-11-06,1,09:32,0.005945017182130696,0.9485672626074599,0.006920415224913601,0.012222008707277299,09:33,2930.0,2906.7,2964.9500000000003,10:26,2906.7,stop,-0.007952218430034241,-0.008952218430034242,Development
M&M,2024-12-13,-1,09:34,-0.0019993444772204993,0.49994291273689206,-0.002827120749105294,0.00985350149758557,09:35,3039.2,3050.45,3022.325,09:46,3022.325,target,0.005552448012634881,0.004552448012634881,Development
M&M,2024-12-26,1,09:37,0.01070085470085469,0.6562134498335561,0.0029144522544144458,0.0012620968506575903,09:38,2958.85,2940.675,2986.1124999999993,10:29,2940.675,stop,-0.006142589181607594,-0.007142589181607594,Development
M&M,2024-12-27,1,09:31,0.011314943760042828,0.6574603901223265,0.0010052945513034928,0.0030365778209870964,09:32,3021.4,2999.525,3054.2125,10:04,3054.2125,target,0.010860031773350043,0.009860031773350042,Development
M&M,2024-12-30,-1,09:31,-0.0015851785802745155,0.5746804599666567,-0.004585798816567954,-0.00729257797666627,09:32,3019.0,3030.275,3002.0874999999996,10:43,3030.275,stop,-0.003734680357734277,-0.004734680357734277,Development
M&M,2024-12-31,-1,09:48,-0.0037904087630242778,0.4659307090070974,-0.006832504145936946,0.000429018561921124,09:49,2977.3,2992.775,2954.0875000000005,10:27,2992.775,stop,-0.005197662311490214,-0.006197662311490214,Development
M&M,2025-01-21,1,09:30,0.001258577290438323,0.6354495495368874,0.0034948096885811797,-0.012169490145498285,09:31,2906.95,2896.55,2922.5499999999993,09:31,2896.55,stop,-0.0035776329142226393,-0.004577632914222639,Development
M&M,2025-01-24,-1,09:30,0.001182608695652121,1.8177627232989924,-0.0048115199556925115,-0.005425067732584443,09:31,2870.85,2885.5,2848.875,10:13,2848.875,target,0.0076545274047755685,0.0066545274047755685,Development
M&M,2025-02-06,-1,09:36,-0.0050473186119873725,1.4949081464388636,-0.0017162921790612184,-0.002478178728614111,09:37,3137.95,3162.425,3101.2374999999993,12:12,3162.425,stop,-0.007799678133813659,-0.00879967813381366,Development
M&M,2025-02-21,-1,09:39,-0.010674197215117864,2.578679019680095,-0.006055042632443053,-0.006194815825375288,09:40,2777.05,2795.1,2749.9750000000004,09:51,2749.9750000000004,target,0.009749554383248316,0.008749554383248315,Development
M&M,2025-02-25,1,09:34,0.009854014598540184,3.041818434872345,0.0108836008116584,-0.0010000510003835839,09:35,2769.7,2748.575,2801.3875,11:39,2801.3875,target,0.011440769758457536,0.010440769758457535,Development
M&M,2025-03-18,1,09:34,0.001354170479083594,0.7882863412850799,0.011588300629396642,0.014812182853843447,09:35,2743.95,2729.5,2765.6249999999995,10:42,2765.6249999999995,target,0.007899196413928777,0.006899196413928777,Development
M&M,2025-04-30,1,09:31,0.003575357535753554,0.39574400201101223,0.0010324179227751973,-0.0032558493265284483,09:32,2926.8,2906.0,2958.0000000000005,15:14,2926.1,time,-0.0002391690583573025,-0.0012391690583573025,Development
M&M,2025-05-22,-1,09:31,-0.011018656958980744,0.5993722745326778,-0.0031429219453715795,-0.006610633866847904,09:32,3041.2,3063.1000000000004,3008.349999999999,11:50,3008.349999999999,target,0.010801657240563256,0.009801657240563255,Development
M&M,2025-05-28,-1,09:33,-0.004704411619567583,0.795077806074286,-0.0007560815253123687,-0.0032430539059574714,09:34,3020.1,3032.4,3001.6499999999996,14:58,3001.6499999999996,target,0.006109069236118092,0.005109069236118092,Development
M&M,2025-05-30,-1,09:33,-0.002262895174708901,0.6202006169011056,-0.0028537297584284582,-0.005795621934137962,09:34,2991.4,3005.2,2970.7000000000007,10:22,2970.7000000000007,target,0.006919836865681428,0.005919836865681428,Development
