Portfolio,MonthlySIP,Installments,Invested,CurrentValue,Gain,ReturnOnContributionsPct,XIRR_Pct
PPFCF_100,8000.0,159,1272000.0,4383916.07635329,3111916.07635329,244.6474902793467,17.272908898984486
MIDCAP150_100,8000.0,159,1272000.0,4988676.776236268,3716676.7762362678,292.1915704588261,18.987819602647885
SMALLCAP250_100,8000.0,159,1272000.0,4354462.387515908,3082462.387515908,242.33194870408084,17.18322740525583
PPFCF50_Midcap50,8000.0,159,1272000.0,4686296.426294779,3414296.4262947794,268.41953036908643,18.159010658336534
Core60_Mid20_Small20,8000.0,159,1272000.0,4498977.478562406,3226977.4785624063,253.69319800018917,17.61735052303175
Equal_Thirds,8000.0,159,1272000.0,4575685.080035154,3303685.080035154,259.7236698140844,17.84193675314526
