Date,PPFCF,MIDCAP150_TRI,SMALLCAP250_TRI
2014,45.49562068007209,62.66583551285352,71.66168926739348
2015,9.5110169073791,9.704588623412969,11.266377545074668
2016,3.85805594940698,6.534533166267997,1.3853275354187122
2017,30.102552156412354,55.733837051821226,58.47085865238102
2018,0.16489350627719723,-12.621579190677357,-26.1462186947786
2019,15.341445265245213,0.6157561280961232,-7.263470647111214
2020,33.54598042925878,25.5642209715794,26.459455462961866
2021,46.97352441097888,48.15979600509988,63.33592284161349
2022,-6.289789764975273,3.913339144865269,-2.6363797196496175
2023,37.64382906679624,44.607436861945615,49.09357975568487
2024,24.81297201876331,24.464608549781385,27.214170966275432
2025,8.552119808835101,5.983592422334083,-5.477802141784849
2026,-4.386319767912261,5.655549222002421,10.603977805748443
