Asset,Start,End,Years,CAGR_Pct,ValueOfRs100k,Trailing3YCAGR_Pct,Trailing5YCAGR_Pct,Trailing10YCAGR_Pct,AnnualVolatilityPct,MaxDrawdownPct,DrawdownPeak,DrawdownTrough,RecoveryDate,RecoveryCalendarDays,CompletedCalendarYears,BestCalendarYearPct,WorstCalendarYearPct,PositiveCalendarYearsPct,Rolling3YMedianPct,Rolling3YWorstPct,Rolling3YPositivePct,Rolling5YMedianPct,Rolling5YWorstPct,Rolling5YPositivePct
PPFCF,2013-05-28,2026-08-24,13.240246406570842,18.150381687693027,910036.8029442355,14.413846354339576,13.257665618716509,17.209460956425904,11.92039006266057,-31.202149047503646,2020-02-13,2020-03-24,2020-07-07,145,12,46.97352441097888,-6.289789764975273,91.66666666666666,19.29094588134732,3.1138850791935235,100.0,19.23644402365361,5.824866246760552,100.0
MIDCAP150_TRI,2013-05-28,2026-08-24,13.240246406570842,19.557663611419084,1064496.2839159349,17.88576715470733,18.67473084720812,17.66037605619253,17.48291854386735,-43.057589628376306,2018-01-08,2020-03-23,2020-11-23,1050,12,62.66583551285352,-12.621579190677357,91.66666666666666,21.760021009103014,-6.769169529331309,95.16129032258065,18.242960573374035,1.7995649979866135,100.0
SMALLCAP250_TRI,2013-05-28,2026-08-24,13.240246406570842,18.03007153256544,897843.606973932,17.357504530061995,17.46653309281183,15.157787147994606,19.23470910489574,-59.77647663620036,2018-01-15,2020-03-24,2021-05-03,1204,12,71.66168926739348,-26.1462186947786,66.66666666666666,20.641199957269883,-16.09133570005262,87.09677419354838,15.26416122862473,-4.823364449627288,96.0
