SipDay,PPFCFValue,PPFCFReturnPct,DiversifiedValue,DiversifiedReturnPct,DiversifiedMinusPPFCF
1,194628.08415408994,1.3687938302551883,206348.31805136328,7.473082318418367,11720.233897273341
5,194653.936256008,1.3822584666708382,206122.56541866934,7.355502822223614,11468.629162661353
10,194129.63013747102,1.109182363266159,205713.05671249036,7.142217037755394,11583.426575019344
15,193993.70598601914,1.0383885343849597,205933.4886620064,7.257025344794998,11939.782675987255
