Portfolio,Asset,MonthlyContribution,Invested,CurrentPrice,Units,UninvestedCash,CurrentValue,Gain,ReturnPct,XirrPct
Stated Rs2600 each,PPFCF,2600.0,46800.0,90.9964,515.9029221594108,0.0,46945.3086659866,145.30866598660214,0.3104886025354746,0.40822132502986624
Stated Rs2600 each,HDFCSML250,2600.0,46800.0,185.18,283.0,15.709999999999582,52421.65,5621.6500000000015,12.012072649572653,15.778123053391937
Stated Rs2600 each,MIDCAPIETF,2600.0,46800.0,24.18,2131.0,20.730000000000018,51548.310000000005,4748.310000000005,10.145961538461549,13.329636332599701
Equal Rs8000 budget,PPFCF,2666.6666666666665,48000.0,90.9964,529.1312022147802,0.0,48149.03452921702,149.03452921701682,0.31048860253545174,0.4082213250298425
Equal Rs8000 budget,HDFCSML250,2666.6666666666665,48000.0,185.18,290.0,96.70999999999731,53798.91,5798.9100000000035,12.081062500000007,15.868619144844335
Equal Rs8000 budget,MIDCAPIETF,2666.6666666666665,48000.0,24.18,2186.0,13.419999999997344,52870.899999999994,4870.899999999994,10.147708333333322,13.33192883689733
