Portfolio,MonthlyInvestment,Installments,Invested,CurrentValue,Gain,ReturnPct,XirrPct
PPFCF only - stated Rs8000,8000.0,18,144000.0,144447.1035876511,447.1035876511014,0.3104886025354858,0.40822132502989217
PPFCF only - comparable Rs7800,7800.0,18,140400.0,140835.9259979598,435.92599795979913,0.3104886025354636,0.40822132502987135
Diversified - stated Rs2600 each,7800.0,18,140400.0,150915.2686659866,10515.268665986601,7.489507596856559,9.84214910431242
Diversified - equal Rs8000 budget,8000.0,18,144000.0,154818.84452921702,10818.844529217022,7.513086478622921,9.87311381716894
