Portfolio,Asset,MonthlyContribution,Invested,CurrentPrice,Units,UninvestedCash,CurrentValue,Gain,ReturnPct,XirrPct
Stated Rs2600 each,PPFCF,2600.0,62400.0,90.9964,695.2201326997838,0.0,63262.5292832026,862.5292832026025,1.3822584666708373,1.3653519573434167
Stated Rs2600 each,HDFCSML250,2600.0,62400.0,185.18,371.0,93.80999999999995,68795.59,6395.5899999999965,10.249342948717944,9.97872242585577
Stated Rs2600 each,MIDCAPIETF,2600.0,62400.0,24.18,2850.0,16.960000000000036,68929.96,6529.960000000006,10.464679487179497,10.184877548789467
Equal Rs8000 budget,PPFCF,2666.6666666666665,64000.0,90.9964,713.0462899484962,0.0,64884.64541866934,884.6454186693372,1.3822584666708393,1.3653519573434358
Equal Rs8000 budget,HDFCSML250,2666.6666666666665,64000.0,185.18,380.0,171.49999999999636,70539.90000000001,6539.900000000009,10.218593750000014,9.949272946665419
Equal Rs8000 budget,MIDCAPIETF,2666.6666666666665,64000.0,24.18,2923.0,19.879999999996016,70698.01999999999,6698.0199999999895,10.465656249999984,10.185812348202262
