Portfolio,MonthlyInvestment,Installments,Invested,CurrentValue,Gain,ReturnPct,XirrPct
PPFCF only - stated Rs8000,8000.0,24,192000.0,194653.936256008,2653.93625600799,1.3822584666708382,1.3653519573434227
PPFCF only - comparable Rs7800,7800.0,24,187200.0,189787.5878496078,2587.5878496078076,1.3822584666708382,1.3653519573434196
Diversified - stated Rs2600 each,7800.0,24,187200.0,200988.0792832026,13788.07928320259,7.365426967522759,7.204238077708762
Diversified - equal Rs8000 budget,8000.0,24,192000.0,206122.56541866934,14122.565418669343,7.355502822223614,7.194646589255031
